Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv}","{Machine-op-inspct, Exec-managerial, Priv-house-serv, Protective-serv, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Priv-house-serv, Protective-serv, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Craft-repair, Farming-fishing}","{Craft-repair, Farming-fishing}","{Craft-repair, Prof-specialty, Farming-fishing}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Other-service,"{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Transport-moving, Tech-support}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Craft-repair, Prof-specialty, Farming-fishing}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Sales,"{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Protective-serv,"{Protective-serv}","{Protective-serv}","{Protective-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv}","{Machine-op-inspct, Exec-managerial, Priv-house-serv, Protective-serv, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Priv-house-serv, Protective-serv, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Adm-clerical,"{Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Priv-house-serv, Protective-serv, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Priv-house-serv, Protective-serv, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving, Tech-support}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
