Assoc-voc,"{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{HS-grad, Prof-school, Assoc-acdm, Some-college, Assoc-voc}","{HS-grad, Prof-school, Assoc-acdm, Some-college, Assoc-voc}","{Preschool, HS-grad, Prof-school, Assoc-acdm, Some-college, Assoc-voc}","{Preschool, HS-grad, Bachelors, Prof-school, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}","{12th, 11th, Preschool, HS-grad, Bachelors, Prof-school, 10th, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}",*
7th-8th,"{7th-8th}","{7th-8th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th, 9th}","{5th-6th, 7th-8th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool, HS-grad, Prof-school, Assoc-acdm, Some-college, Assoc-voc}","{Preschool, HS-grad, Bachelors, Prof-school, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}","{12th, 11th, Preschool, HS-grad, Bachelors, Prof-school, 10th, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}",*
Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{HS-grad, Prof-school}","{HS-grad, Some-college, Prof-school}","{HS-grad, Some-college, Prof-school}","{HS-grad, Prof-school, Assoc-acdm, Some-college, Assoc-voc}","{HS-grad, Prof-school, Assoc-acdm, Some-college, Assoc-voc}","{Preschool, HS-grad, Prof-school, Assoc-acdm, Some-college, Assoc-voc}","{Preschool, HS-grad, Bachelors, Prof-school, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}","{12th, 11th, Preschool, HS-grad, Bachelors, Prof-school, 10th, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th, 9th}","{5th-6th, 7th-8th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}","{5th-6th, 7th-8th, 1st-4th, 9th}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{HS-grad, Some-college, Prof-school}","{HS-grad, Some-college, Prof-school}","{HS-grad, Prof-school, Assoc-acdm, Some-college, Assoc-voc}","{HS-grad, Prof-school, Assoc-acdm, Some-college, Assoc-voc}","{Preschool, HS-grad, Prof-school, Assoc-acdm, Some-college, Assoc-voc}","{Preschool, HS-grad, Bachelors, Prof-school, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}","{12th, 11th, Preschool, HS-grad, Bachelors, Prof-school, 10th, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}",*
Masters,"{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters, Doctorate}","{Masters, Doctorate}","{Masters, Bachelors, Doctorate}","{Masters, Bachelors, Doctorate}","{Preschool, HS-grad, Bachelors, Prof-school, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}","{12th, 11th, Preschool, HS-grad, Bachelors, Prof-school, 10th, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}",*
12th,"{12th, 10th}","{12th, 11th, 10th}","{12th, 11th, 10th}","{12th, 11th, 10th}","{12th, 11th, 10th}","{12th, 11th, 10th}","{12th, 11th, 10th}","{12th, 11th, 10th}","{12th, 11th, 10th}","{12th, 11th, 10th}","{12th, 11th, 10th}","{12th, 11th, 10th}","{12th, 11th, 10th}","{12th, 11th, Preschool, HS-grad, Bachelors, Prof-school, 10th, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}",*
Doctorate,"{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Masters, Doctorate}","{Masters, Doctorate}","{Masters, Bachelors, Doctorate}","{Masters, Bachelors, Doctorate}","{Preschool, HS-grad, Bachelors, Prof-school, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}","{12th, 11th, Preschool, HS-grad, Bachelors, Prof-school, 10th, Masters, Doctorate, Assoc-acdm, Some-college, Assoc-voc}",*
