Machine-op-inspct,"{Machine-op-inspct, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv, Prof-specialty}","{Machine-op-inspct, Protective-serv, Priv-house-serv, Prof-specialty}","{Machine-op-inspct, Protective-serv, Priv-house-serv, Prof-specialty}","{Machine-op-inspct, Protective-serv, Priv-house-serv, Prof-specialty}","{Machine-op-inspct, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners}","{Machine-op-inspct, Exec-managerial, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Transport-moving, Tech-support, Other-service, Farming-fishing, Armed-Forces}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Transport-moving, Tech-support, Other-service, Armed-Forces}","{Transport-moving, Tech-support, Other-service, Farming-fishing, Armed-Forces}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}",*
Other-service,"{Other-service}","{Other-service}","{Tech-support, Other-service}","{Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service, Armed-Forces}","{Transport-moving, Tech-support, Other-service, Farming-fishing, Armed-Forces}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support, Other-service}","{Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service, Armed-Forces}","{Transport-moving, Tech-support, Other-service, Farming-fishing, Armed-Forces}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Machine-op-inspct, Protective-serv, Priv-house-serv, Prof-specialty}","{Machine-op-inspct, Protective-serv, Priv-house-serv, Prof-specialty}","{Machine-op-inspct, Protective-serv, Priv-house-serv, Prof-specialty}","{Machine-op-inspct, Protective-serv, Priv-house-serv, Prof-specialty}","{Machine-op-inspct, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners}","{Machine-op-inspct, Exec-managerial, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}",*
Sales,"{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}",*
Protective-serv,"{Protective-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv, Prof-specialty}","{Machine-op-inspct, Protective-serv, Priv-house-serv, Prof-specialty}","{Machine-op-inspct, Protective-serv, Priv-house-serv, Prof-specialty}","{Machine-op-inspct, Protective-serv, Priv-house-serv, Prof-specialty}","{Machine-op-inspct, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners}","{Machine-op-inspct, Exec-managerial, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}",*
Adm-clerical,"{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Craft-repair, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service}","{Transport-moving, Tech-support, Other-service, Armed-Forces}","{Transport-moving, Tech-support, Other-service, Farming-fishing, Armed-Forces}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Handlers-cleaners, Adm-clerical}",*
