Assoc-voc,"{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}",*
7th-8th,"{7th-8th}","{7th-8th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th, 9th}","{5th-6th, 7th-8th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Doctorate, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, Preschool, 9th, Prof-school, 10th, Masters, HS-grad, Doctorate, 11th, Some-college}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{5th-6th, 12th, 7th-8th, 1st-4th, Preschool, 9th, Prof-school, 10th, Masters, HS-grad, Doctorate, 11th, Some-college}",*
Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Some-college, Prof-school}","{HS-grad, Some-college, Prof-school}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Doctorate, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, Preschool, 9th, Prof-school, 10th, Masters, HS-grad, Doctorate, 11th, Some-college}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th, 9th}","{5th-6th, 7th-8th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Doctorate, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, Preschool, 9th, Prof-school, 10th, Masters, HS-grad, Doctorate, 11th, Some-college}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{5th-6th, 12th, 7th-8th, 1st-4th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Doctorate, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, Preschool, 9th, Prof-school, 10th, Masters, HS-grad, Doctorate, 11th, Some-college}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college, Prof-school}","{HS-grad, Some-college, Prof-school}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Doctorate, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, Preschool, 9th, Prof-school, 10th, Masters, HS-grad, Doctorate, 11th, Some-college}",*
Masters,"{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Doctorate, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, Preschool, 9th, Prof-school, 10th, Masters, HS-grad, Doctorate, 11th, Some-college}",*
12th,"{12th}","{12th}","{12th}","{12th}","{12th}","{5th-6th, 12th, 7th-8th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, 11th, 9th, 10th}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Doctorate, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, Preschool, 9th, Prof-school, 10th, Masters, HS-grad, Doctorate, 11th, Some-college}",*
Doctorate,"{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{5th-6th, 12th, 7th-8th, 1st-4th, HS-grad, 9th, Prof-school, 10th, Masters, 11th, Doctorate, Some-college}","{5th-6th, 12th, 7th-8th, 1st-4th, Preschool, 9th, Prof-school, 10th, Masters, HS-grad, Doctorate, 11th, Some-college}",*
