Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct, Exec-managerial, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Priv-house-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Priv-house-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Armed-Forces, Priv-house-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Transport-moving, Machine-op-inspct, Exec-managerial, Armed-Forces, Priv-house-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Other-service,"{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Sales,"{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Protective-serv,"{Protective-serv}","{Protective-serv}","{Protective-serv}","{Protective-serv}","{Protective-serv}","{Protective-serv}","{Transport-moving, Machine-op-inspct, Exec-managerial, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Adm-clerical,"{Adm-clerical}","{Exec-managerial, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Adm-clerical}","{Machine-op-inspct, Exec-managerial, Priv-house-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Priv-house-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Armed-Forces, Priv-house-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving, Machine-op-inspct, Exec-managerial, Priv-house-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Armed-Forces, Priv-house-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Protective-serv, Adm-clerical}","{Transport-moving, Machine-op-inspct, Exec-managerial, Tech-support, Other-service, Craft-repair, Farming-fishing, Armed-Forces, Sales, Priv-house-serv, Prof-specialty, Protective-serv, Adm-clerical}",*
