Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school, Some-college, HS-grad}","{Prof-school, Some-college, HS-grad}","{Prof-school, HS-grad, Some-college, Masters, Doctorate}","{Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
11th,"{11th}","{11th}","{11th}","{11th}","{11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
7th-8th,"{7th-8th}","{7th-8th}","{5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Assoc-acdm,"{Bachelors, Assoc-acdm}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}",*
12th,"{12th}","{12th}","{12th}","{12th}","{11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Bachelors,"{Bachelors, Assoc-acdm}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{HS-grad, Some-college}","{Prof-school, Some-college, HS-grad}","{Prof-school, Some-college, HS-grad}","{Prof-school, HS-grad, Some-college, Masters, Doctorate}","{Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
9th,"{9th}","{9th}","{9th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Masters,"{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Doctorate, Masters}","{Prof-school, HS-grad, Some-college, Masters, Doctorate}","{Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Doctorate,"{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate, Masters}","{Prof-school, HS-grad, Some-college, Masters, Doctorate}","{Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Assoc-voc,"{Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}",*
10th,"{10th}","{10th}","{10th}","{10th}","{10th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
HS-grad,"{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad, Some-college}","{Prof-school, Some-college, HS-grad}","{Prof-school, Some-college, HS-grad}","{Prof-school, HS-grad, Some-college, Masters, Doctorate}","{Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
