?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, ?, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, ?, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{India, ?, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Italy, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Hungary, Trinadad&Tobago, Poland, El-Salvador, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, England, Dominican-Republic}",*
Thailand,"{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Laos, Cambodia, Yugoslavia, Vietnam}","{Thailand, Laos, Cambodia, Yugoslavia, Vietnam}","{Thailand, Laos, Cambodia, Yugoslavia, Vietnam}","{Thailand, Laos, Cambodia, Yugoslavia, Vietnam}","{Thailand, Laos, Cambodia, Yugoslavia, Vietnam}","{Jamaica, Thailand, Nicaragua, Guatemala, Laos, Cambodia, Yugoslavia, Cuba, Vietnam, Honduras, Haiti}","{Jamaica, Thailand, Nicaragua, Guatemala, Laos, Cambodia, Yugoslavia, Cuba, Vietnam, Honduras, Haiti}",*
Dominican-Republic,"{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), United-States, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, ?, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, ?, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{India, ?, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Italy, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Hungary, Trinadad&Tobago, Poland, El-Salvador, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, England, Dominican-Republic}",*
Guatemala,"{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala, Nicaragua}","{Guatemala, Nicaragua}","{Guatemala, Nicaragua}","{Guatemala, Nicaragua}","{Guatemala, Nicaragua}","{Guatemala, Nicaragua}","{Guatemala, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Jamaica, Nicaragua, Guatemala, Cuba, Honduras, Haiti}","{Jamaica, Nicaragua, Guatemala, Cuba, Honduras, Haiti}","{Jamaica, Nicaragua, Guatemala, Cuba, Honduras, Haiti}","{Jamaica, Nicaragua, Guatemala, Cuba, Honduras, Haiti}","{Jamaica, Thailand, Nicaragua, Guatemala, Laos, Cambodia, Yugoslavia, Cuba, Vietnam, Honduras, Haiti}","{Jamaica, Thailand, Nicaragua, Guatemala, Laos, Cambodia, Yugoslavia, Cuba, Vietnam, Honduras, Haiti}",*
Mexico,"{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{El-Salvador, Mexico}","{El-Salvador, Mexico}","{El-Salvador, Mexico}","{El-Salvador, Mexico}","{El-Salvador, Mexico}","{El-Salvador, Mexico}","{El-Salvador, Mexico}","{El-Salvador, Mexico}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, ?, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, ?, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{India, ?, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Italy, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Hungary, Trinadad&Tobago, Poland, El-Salvador, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, England, Dominican-Republic}",*
Columbia,"{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Outlying-US(Guam-USVI-etc), Mexico, United-States, El-Salvador, Holand-Netherlands, Columbia, Dominican-Republic}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, ?, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, ?, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{India, ?, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Italy, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Hungary, Trinadad&Tobago, Poland, El-Salvador, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, England, Dominican-Republic}",*
Hong,"{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Taiwan, Hong, Philippines, Ecuador, Puerto-Rico, Iran, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, ?, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, ?, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{India, ?, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Italy, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Hungary, Trinadad&Tobago, Poland, El-Salvador, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, England, Dominican-Republic}",*
Portugal,"{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Hungary, Portugal, Greece}","{Hungary, Portugal, Greece}","{Hungary, Portugal, Greece}","{Hungary, Portugal, Greece}","{Hungary, Portugal, Greece}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{India, ?, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Italy, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Hungary, Trinadad&Tobago, Poland, El-Salvador, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, England, Dominican-Republic}",*
Puerto-Rico,"{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Ecuador, Puerto-Rico}","{Ecuador, Puerto-Rico}","{Ecuador, Puerto-Rico}","{Ecuador, Puerto-Rico}","{Ecuador, Puerto-Rico, Iran}","{Ecuador, Puerto-Rico, Iran}","{Ecuador, Puerto-Rico, Iran}","{Taiwan, Philippines, Ecuador, Puerto-Rico, Iran}","{Taiwan, Philippines, Ecuador, Puerto-Rico, Iran}","{Taiwan, Philippines, Ecuador, Puerto-Rico, Iran}","{Taiwan, Philippines, Ecuador, Puerto-Rico, Iran, Peru}","{Taiwan, Philippines, Ecuador, Puerto-Rico, Iran, Peru}","{Taiwan, Philippines, Ecuador, Puerto-Rico, Iran, Peru}","{Taiwan, Philippines, Ecuador, Puerto-Rico, Iran, Peru}","{Taiwan, Hong, Philippines, Ecuador, Puerto-Rico, Iran, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, ?, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{Trinadad&Tobago, South, Taiwan, Outlying-US(Guam-USVI-etc), Mexico, ?, Hong, United-States, El-Salvador, Holand-Netherlands, Philippines, Columbia, Ecuador, Puerto-Rico, Iran, Dominican-Republic, Peru}","{India, ?, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Italy, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Hungary, Trinadad&Tobago, Poland, El-Salvador, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, England, Dominican-Republic}",*
Cambodia,"{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Laos, Cambodia, Yugoslavia, Vietnam}","{Thailand, Laos, Cambodia, Yugoslavia, Vietnam}","{Thailand, Laos, Cambodia, Yugoslavia, Vietnam}","{Thailand, Laos, Cambodia, Yugoslavia, Vietnam}","{Thailand, Laos, Cambodia, Yugoslavia, Vietnam}","{Jamaica, Thailand, Nicaragua, Guatemala, Laos, Cambodia, Yugoslavia, Cuba, Vietnam, Honduras, Haiti}","{Jamaica, Thailand, Nicaragua, Guatemala, Laos, Cambodia, Yugoslavia, Cuba, Vietnam, Honduras, Haiti}",*
China,"{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China, India}","{China, India}","{China, India}","{China, India, Japan}","{China, India, Japan}","{China, India, Japan}","{China, India, Japan}","{China, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{Scotland, Hungary, India, Italy, Germany, Poland, Japan, Greece, China, France, Portugal, Ireland, Canada, England}","{India, ?, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Italy, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Hungary, Trinadad&Tobago, Poland, El-Salvador, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, England, Dominican-Republic}",*
