?,"{?, Handlers-cleaners}","{?, Handlers-cleaners}","{?, Handlers-cleaners}","{?, Handlers-cleaners}","{?, Handlers-cleaners}","{?, Handlers-cleaners}","{?, Handlers-cleaners}","{?, Handlers-cleaners}","{?, Handlers-cleaners}","{?, Handlers-cleaners}","{?, Handlers-cleaners}","{?, Handlers-cleaners}","{?, Handlers-cleaners}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Craft-repair, Farming-fishing, Prof-specialty}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv}","{Exec-managerial, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv}","{Exec-managerial, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair, Farming-fishing}","{Craft-repair, Farming-fishing}","{Craft-repair, Farming-fishing, Prof-specialty}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}",*
Sales,"{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct, Priv-house-serv}","{Machine-op-inspct, Protective-serv, Priv-house-serv}","{Exec-managerial, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv}","{Exec-managerial, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv}","{Exec-managerial, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service, Tech-support, Transport-moving}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Tech-support, Transport-moving}","{Other-service, Tech-support, Transport-moving}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Other-service, Priv-house-serv, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving, Tech-support}",*
