?,"{?}","{?}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Honduras, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Honduras, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Honduras, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Honduras, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Laos, Holand-Netherlands, Yugoslavia, Honduras, Nicaragua}",*
Thailand,"{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Dominican-Republic,"{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{United-States, Dominican-Republic}","{South, Dominican-Republic, United-States}","{South, Dominican-Republic, United-States}","{South, Dominican-Republic, United-States}","{South, Dominican-Republic, United-States}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Guatemala,"{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Mexico,"{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Puerto-Rico, Mexico}","{Puerto-Rico, Mexico}","{Puerto-Rico, Mexico}","{Puerto-Rico, Mexico}","{Puerto-Rico, Mexico}","{Puerto-Rico, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Columbia,"{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Hong,"{Hong}","{Hong}","{Hong}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Portugal,"{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Italy, France, Portugal, Greece}","{Italy, France, Portugal, Greece}","{Italy, France, Portugal, Greece}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Puerto-Rico,"{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico, Mexico}","{Puerto-Rico, Mexico}","{Puerto-Rico, Mexico}","{Puerto-Rico, Mexico}","{Puerto-Rico, Mexico}","{Puerto-Rico, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Puerto-Rico, El-Salvador, Mexico}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Cambodia,"{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
