Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school, Assoc-acdm}","{HS-grad, Prof-school, Assoc-acdm}","{HS-grad, Prof-school, Assoc-acdm}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Preschool}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
11th,"{11th}","{11th}","{11th}","{11th, 12th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
5th-6th,"{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{10th, 9th, 5th-6th, 7th-8th}","{10th, 9th, 5th-6th, 7th-8th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
7th-8th,"{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{10th, 9th, 5th-6th, 7th-8th}","{10th, 9th, 5th-6th, 7th-8th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
Assoc-acdm,"{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Prof-school, Assoc-acdm}","{HS-grad, Prof-school, Assoc-acdm}","{HS-grad, Prof-school, Assoc-acdm}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Preschool}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
12th,"{12th}","{12th}","{12th}","{11th, 12th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
Bachelors,"{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors, Masters}","{Bachelors, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Preschool}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Preschool}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
9th,"{9th}","{10th, 9th}","{10th, 9th, 5th-6th, 7th-8th}","{10th, 9th, 5th-6th, 7th-8th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
Masters,"{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Bachelors, Masters}","{Bachelors, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
Doctorate,"{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
Assoc-voc,"{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
10th,"{10th}","{10th, 9th}","{10th, 9th, 5th-6th, 7th-8th}","{10th, 9th, 5th-6th, 7th-8th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
HS-grad,"{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad, Prof-school, Assoc-acdm}","{HS-grad, Prof-school, Assoc-acdm}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Preschool}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
