?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?, United-States}","{?, United-States}","{?, United-States}","{?, United-States, Holand-Netherlands}","{?, United-States, Holand-Netherlands}","{?, United-States, Holand-Netherlands}","{?, United-States, Holand-Netherlands}","{?, United-States, Holand-Netherlands}","{?, United-States, Holand-Netherlands}","{?, United-States, Holand-Netherlands}","{?, United-States, Holand-Netherlands}","{?, South, Holand-Netherlands, United-States}","{South, ?, Hong, Holand-Netherlands, United-States}","{South, ?, Hong, United-States, Holand-Netherlands, Columbia, Canada}","{South, ?, Hong, United-States, Holand-Netherlands, Columbia, Canada}","{South, ?, Hong, United-States, Holand-Netherlands, Columbia, Canada}","{South, Thailand, Taiwan, India, ?, Hong, United-States, Japan, Laos, Holand-Netherlands, Cambodia, China, Philippines, Columbia, Canada, Vietnam, Iran}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Thailand,"{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{South, Thailand, Taiwan, India, ?, Hong, United-States, Japan, Laos, Holand-Netherlands, Cambodia, China, Philippines, Columbia, Canada, Vietnam, Iran}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Dominican-Republic,"{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{El-Salvador, Dominican-Republic}","{El-Salvador, Dominican-Republic}","{El-Salvador, Dominican-Republic}","{Puerto-Rico, El-Salvador, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, El-Salvador, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, El-Salvador, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, El-Salvador, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), El-Salvador, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), El-Salvador, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), El-Salvador, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), El-Salvador, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), El-Salvador, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), El-Salvador, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}",*
Guatemala,"{Guatemala}","{Guatemala, Nicaragua}","{Guatemala, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}",*
Mexico,"{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}",*
Columbia,"{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{Columbia, Canada}","{South, ?, Hong, United-States, Holand-Netherlands, Columbia, Canada}","{South, ?, Hong, United-States, Holand-Netherlands, Columbia, Canada}","{South, ?, Hong, United-States, Holand-Netherlands, Columbia, Canada}","{South, Thailand, Taiwan, India, ?, Hong, United-States, Japan, Laos, Holand-Netherlands, Cambodia, China, Philippines, Columbia, Canada, Vietnam, Iran}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Hong,"{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{South, ?, Hong, Holand-Netherlands, United-States}","{South, ?, Hong, United-States, Holand-Netherlands, Columbia, Canada}","{South, ?, Hong, United-States, Holand-Netherlands, Columbia, Canada}","{South, ?, Hong, United-States, Holand-Netherlands, Columbia, Canada}","{South, Thailand, Taiwan, India, ?, Hong, United-States, Japan, Laos, Holand-Netherlands, Cambodia, China, Philippines, Columbia, Canada, Vietnam, Iran}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Portugal,"{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Puerto-Rico,"{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, El-Salvador, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, El-Salvador, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, El-Salvador, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, El-Salvador, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), El-Salvador, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), El-Salvador, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), El-Salvador, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), El-Salvador, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), El-Salvador, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), El-Salvador, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Mexico, Guatemala, Nicaragua, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}",*
Cambodia,"{Cambodia, Laos}","{Cambodia, Laos}","{Cambodia, Laos}","{Cambodia, Laos}","{Cambodia, Laos}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{South, Thailand, Taiwan, India, ?, Hong, United-States, Japan, Laos, Holand-Netherlands, Cambodia, China, Philippines, Columbia, Canada, Vietnam, Iran}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
