?,"{?, Tech-support}","{?, Tech-support}","{?, Machine-op-inspct, Tech-support}","{?, Machine-op-inspct, Tech-support, Prof-specialty}","{?, Machine-op-inspct, Tech-support, Prof-specialty}","{?, Machine-op-inspct, Tech-support, Prof-specialty}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, ?, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{?, Machine-op-inspct, Tech-support, Prof-specialty}","{?, Machine-op-inspct, Tech-support, Prof-specialty}","{?, Machine-op-inspct, Tech-support, Prof-specialty}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, ?, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair, Transport-moving}","{Craft-repair, Transport-moving}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, ?, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Other-service, Armed-Forces}","{Craft-repair, Other-service, Prof-specialty, ?, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Sales,"{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}",*
Tech-support,"{?, Tech-support}","{?, Tech-support}","{?, Machine-op-inspct, Tech-support}","{?, Machine-op-inspct, Tech-support, Prof-specialty}","{?, Machine-op-inspct, Tech-support, Prof-specialty}","{?, Machine-op-inspct, Tech-support, Prof-specialty}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, ?, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{?, Machine-op-inspct, Tech-support}","{?, Machine-op-inspct, Tech-support, Prof-specialty}","{?, Machine-op-inspct, Tech-support, Prof-specialty}","{?, Machine-op-inspct, Tech-support, Prof-specialty}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, ?, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service, Armed-Forces}","{Craft-repair, Other-service, Prof-specialty, ?, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Craft-repair, Transport-moving}","{Craft-repair, Transport-moving}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, ?, Machine-op-inspct, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, ?, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
