?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, Outlying-US(Guam-USVI-etc)}","{?, United-States, Outlying-US(Guam-USVI-etc)}","{?, United-States, Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}",*
Thailand,"{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{India, Cambodia, Canada, Ecuador, Peru, Thailand, Mexico, Laos, Nicaragua, Iran, Honduras, Taiwan, Guatemala, Japan, China, Philippines, Cuba, Vietnam, Haiti}","{India, England, Cambodia, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Laos, Nicaragua, Hungary, Poland, Iran, Honduras, Scotland, Taiwan, Guatemala, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Cuba, Vietnam, Haiti}",*
Dominican-Republic,"{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), ?, United-States, Holand-Netherlands, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}",*
Guatemala,"{Guatemala}","{Guatemala, Nicaragua}","{Guatemala, Nicaragua}","{Guatemala, Nicaragua}","{Guatemala, Ecuador, Nicaragua, Peru}","{Guatemala, Ecuador, Nicaragua, Peru}","{Guatemala, Ecuador, Nicaragua, Peru}","{Guatemala, Ecuador, Nicaragua, Peru}","{Guatemala, Ecuador, Nicaragua, Peru}","{Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, Ecuador, Honduras, Nicaragua, Peru}","{Nicaragua, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{India, Cambodia, Canada, Ecuador, Peru, Thailand, Mexico, Laos, Nicaragua, Iran, Honduras, Taiwan, Guatemala, Japan, China, Philippines, Cuba, Vietnam, Haiti}","{India, England, Cambodia, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Laos, Nicaragua, Hungary, Poland, Iran, Honduras, Scotland, Taiwan, Guatemala, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Cuba, Vietnam, Haiti}",*
Mexico,"{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{Nicaragua, Mexico, Guatemala, Cuba, Ecuador, Honduras, Haiti, Peru}","{India, Cambodia, Canada, Ecuador, Peru, Thailand, Mexico, Laos, Nicaragua, Iran, Honduras, Taiwan, Guatemala, Japan, China, Philippines, Cuba, Vietnam, Haiti}","{India, England, Cambodia, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Laos, Nicaragua, Hungary, Poland, Iran, Honduras, Scotland, Taiwan, Guatemala, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Cuba, Vietnam, Haiti}",*
Columbia,"{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}",*
Hong,"{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}",*
Portugal,"{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{India, England, Cambodia, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Laos, Nicaragua, Hungary, Poland, Iran, Honduras, Scotland, Taiwan, Guatemala, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Cuba, Vietnam, Haiti}",*
Puerto-Rico,"{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, El-Salvador}","{Puerto-Rico, Jamaica, El-Salvador, Trinadad&Tobago}","{Puerto-Rico, Jamaica, El-Salvador, Trinadad&Tobago}","{Puerto-Rico, Jamaica, El-Salvador, Trinadad&Tobago}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, El-Salvador, Holand-Netherlands, Columbia, Puerto-Rico, Dominican-Republic}",*
Cambodia,"{Cambodia}","{Cambodia}","{Cambodia, Laos}","{Cambodia, Laos}","{Cambodia, Laos}","{Cambodia, Laos}","{Cambodia, Laos}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Laos, Cambodia, China, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{India, Cambodia, Canada, Ecuador, Peru, Thailand, Mexico, Laos, Nicaragua, Iran, Honduras, Taiwan, Guatemala, Japan, China, Philippines, Cuba, Vietnam, Haiti}","{India, England, Cambodia, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Laos, Nicaragua, Hungary, Poland, Iran, Honduras, Scotland, Taiwan, Guatemala, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Cuba, Vietnam, Haiti}",*
