?,"{?}","{?}","{?, Tech-support}","{?, Tech-support}","{?, Machine-op-inspct, Tech-support}","{?, Machine-op-inspct, Tech-support}","{?, Machine-op-inspct, Tech-support}","{?, Machine-op-inspct, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Prof-specialty, Priv-house-serv, Adm-clerical, Protective-serv}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Exec-managerial,"{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Prof-specialty, Priv-house-serv, Adm-clerical, Protective-serv}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair, Transport-moving}","{Craft-repair, Transport-moving}","{Craft-repair, Transport-moving}","{Craft-repair, Transport-moving, Armed-Forces}","{Craft-repair, Transport-moving, Armed-Forces}","{Craft-repair, Transport-moving, Armed-Forces}","{Craft-repair, Transport-moving, Armed-Forces, Handlers-cleaners}","{Craft-repair, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving}","{Craft-repair, Other-service, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Craft-repair, Transport-moving, Armed-Forces}","{Craft-repair, Transport-moving, Armed-Forces}","{Craft-repair, Transport-moving, Armed-Forces}","{Craft-repair, Transport-moving, Armed-Forces, Handlers-cleaners}","{Craft-repair, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving}","{Craft-repair, Other-service, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Sales,"{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}",*
Tech-support,"{Tech-support}","{Tech-support}","{?, Tech-support}","{?, Tech-support}","{?, Machine-op-inspct, Tech-support}","{?, Machine-op-inspct, Tech-support}","{?, Machine-op-inspct, Tech-support}","{?, Machine-op-inspct, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{?, Machine-op-inspct, Tech-support}","{?, Machine-op-inspct, Tech-support}","{?, Machine-op-inspct, Tech-support}","{?, Machine-op-inspct, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Craft-repair, Other-service, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Craft-repair, Transport-moving}","{Craft-repair, Transport-moving}","{Craft-repair, Transport-moving}","{Craft-repair, Transport-moving, Armed-Forces}","{Craft-repair, Transport-moving, Armed-Forces}","{Craft-repair, Transport-moving, Armed-Forces}","{Craft-repair, Transport-moving, Armed-Forces, Handlers-cleaners}","{Craft-repair, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving}","{Craft-repair, Other-service, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
