Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school, Some-college, Preschool, Assoc-acdm}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
11th,"{11th}","{11th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
7th-8th,"{7th-8th}","{9th, 7th-8th}","{9th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
Assoc-acdm,"{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm, Some-college, Preschool}","{Prof-school, Some-college, Preschool, Assoc-acdm}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
12th,"{10th, 12th}","{10th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
Bachelors,"{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors, Doctorate}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college, Preschool}","{Assoc-acdm, Some-college, Preschool}","{Prof-school, Some-college, Preschool, Assoc-acdm}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Some-college, Preschool}","{Assoc-acdm, Some-college, Preschool}","{Prof-school, Some-college, Preschool, Assoc-acdm}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
