?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct}","{Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct}","{Exec-managerial, Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Machine-op-inspct, Prof-specialty}","{Machine-op-inspct, Prof-specialty}","{Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Adm-clerical, Machine-op-inspct, Prof-specialty}","{Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct}","{Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct}","{Exec-managerial, Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Transport-moving, Tech-support}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial, Transport-moving}","{Exec-managerial, Transport-moving}","{Exec-managerial, Transport-moving}","{Exec-managerial, Transport-moving}","{Exec-managerial, Transport-moving}","{Exec-managerial, Farming-fishing, Tech-support, Transport-moving}","{Exec-managerial, Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Adm-clerical, Machine-op-inspct, Prof-specialty}","{Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct}","{Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct}","{Exec-managerial, Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces, Priv-house-serv}","{Armed-Forces, Priv-house-serv}","{Other-service, Sales, Armed-Forces, Priv-house-serv}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}",*
Sales,"{Other-service, Sales}","{Other-service, Sales}","{Other-service, Sales}","{Other-service, Sales}","{Other-service, Sales}","{Other-service, Sales}","{Other-service, Sales}","{Other-service, Sales, Armed-Forces, Priv-house-serv}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Exec-managerial, Farming-fishing, Tech-support, Transport-moving}","{Exec-managerial, Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct, Prof-specialty}","{Machine-op-inspct, Prof-specialty}","{Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Machine-op-inspct, Prof-specialty}","{Craft-repair, Adm-clerical, Machine-op-inspct, Prof-specialty}","{Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct}","{Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct}","{Exec-managerial, Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Transport-moving, Tech-support}",*
Other-service,"{Other-service, Sales}","{Other-service, Sales}","{Other-service, Sales}","{Other-service, Sales}","{Other-service, Sales}","{Other-service, Sales}","{Other-service, Sales}","{Other-service, Sales, Armed-Forces, Priv-house-serv}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Exec-managerial, Transport-moving}","{Exec-managerial, Transport-moving}","{Exec-managerial, Transport-moving}","{Exec-managerial, Transport-moving}","{Exec-managerial, Transport-moving}","{Exec-managerial, Farming-fishing, Tech-support, Transport-moving}","{Exec-managerial, Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Transport-moving, Tech-support}",*
Priv-house-serv,"{Priv-house-serv}","{Priv-house-serv}","{Priv-house-serv}","{Priv-house-serv}","{Priv-house-serv}","{Armed-Forces, Priv-house-serv}","{Armed-Forces, Priv-house-serv}","{Other-service, Sales, Armed-Forces, Priv-house-serv}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}","{Other-service, Priv-house-serv, Sales, Protective-serv, Armed-Forces, Handlers-cleaners}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Farming-fishing, Tech-support}","{Exec-managerial, Farming-fishing, Tech-support, Transport-moving}","{Exec-managerial, Craft-repair, Prof-specialty, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Transport-moving, Tech-support}",*
