?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Hong, Holand-Netherlands}","{?, Hong, Holand-Netherlands}","{?, Hong, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Hong, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Thailand,"{Vietnam, Thailand}","{Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Dominican-Republic,"{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Guatemala,"{Guatemala}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador, Nicaragua}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Mexico,"{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Canada, Mexico}","{Canada, Mexico}","{Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{United-States, Canada, Mexico}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Columbia,"{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{South, Columbia}","{South, Columbia}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Hong,"{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{?, Hong, Holand-Netherlands}","{?, Hong, Holand-Netherlands}","{?, Hong, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Hong, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Portugal,"{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Poland, Portugal}","{Poland, Portugal}","{Poland, Portugal}","{Hungary, Poland, Portugal}","{Hungary, Poland, Portugal}","{Hungary, Poland, Portugal}","{Hungary, Poland, Yugoslavia, Portugal}","{Hungary, Poland, Yugoslavia, Portugal}","{Hungary, Poland, Yugoslavia, Portugal}","{Hungary, Poland, Yugoslavia, Portugal}","{Hungary, Poland, Yugoslavia, Portugal}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Puerto-Rico,"{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Cambodia,"{Cambodia}","{Cambodia}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
China,"{China}","{China}","{China}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
