?,"{?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?, Farming-fishing}","{Other-service, ?, Farming-fishing}","{Other-service, ?, Farming-fishing, Transport-moving}","{Other-service, ?, Farming-fishing, Transport-moving}","{Other-service, ?, Farming-fishing, Transport-moving}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Protective-serv, Prof-specialty, Priv-house-serv}","{Exec-managerial, Prof-specialty, Priv-house-serv, Adm-clerical, Protective-serv, Handlers-cleaners}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical, Handlers-cleaners}","{Exec-managerial, Adm-clerical, Handlers-cleaners}","{Exec-managerial, Adm-clerical, Handlers-cleaners}","{Exec-managerial, Prof-specialty, Priv-house-serv, Adm-clerical, Protective-serv, Handlers-cleaners}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair, Machine-op-inspct}","{Craft-repair, Machine-op-inspct}","{Craft-repair, Machine-op-inspct}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Sales, Armed-Forces}","{Sales, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}",*
Sales,"{Sales}","{Sales}","{Sales, Armed-Forces}","{Sales, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Craft-repair, Machine-op-inspct}","{Craft-repair, Machine-op-inspct}","{Craft-repair, Machine-op-inspct}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?, Farming-fishing}","{Other-service, ?, Farming-fishing}","{Other-service, ?, Farming-fishing, Transport-moving}","{Other-service, ?, Farming-fishing, Transport-moving}","{Other-service, ?, Farming-fishing, Transport-moving}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Other-service, ?, Farming-fishing, Transport-moving}","{Other-service, ?, Farming-fishing, Transport-moving}","{Other-service, ?, Farming-fishing, Transport-moving}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}",*
