Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Bachelors, Prof-school, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
11th,"{11th}","{11th, 12th}","{11th, 12th}","{11th, 12th}","{11th, 12th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
7th-8th,"{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
Assoc-acdm,"{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
12th,"{12th}","{11th, 12th}","{11th, 12th}","{11th, 12th}","{11th, 12th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
Bachelors,"{Bachelors, Doctorate}","{Bachelors, Doctorate}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Preschool, Masters}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Prof-school, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Prof-school, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Bachelors, Doctorate, Preschool, Masters}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Prof-school, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
9th,"{9th}","{9th}","{9th}","{10th, 9th}","{10th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
Masters,"{Masters}","{Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Preschool, Masters}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Prof-school, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
Doctorate,"{Bachelors, Doctorate}","{Bachelors, Doctorate}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Preschool, Masters}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Prof-school, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
Assoc-voc,"{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
10th,"{10th}","{10th}","{10th}","{10th, 9th}","{10th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
HS-grad,"{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
