?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{Scotland, South, India, ?, United-States, Columbia, Ireland, Canada, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Thailand,"{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Dominican-Republic,"{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Guatemala,"{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Mexico,"{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Columbia,"{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{South, Columbia}","{South, Columbia}","{Scotland, South, India, United-States, Columbia, Ireland, Canada, England}","{Scotland, South, India, ?, United-States, Columbia, Ireland, Canada, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Hong,"{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Portugal,"{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Puerto-Rico,"{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Cambodia,"{Cambodia}","{Cambodia}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam, Laos}","{Cambodia, Vietnam, Laos}","{Cambodia, Vietnam, Laos}","{Cambodia, Vietnam, Laos}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
China,"{China}","{China}","{China}","{China}","{China}","{China}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
