Iran,"{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Yugoslavia, Poland, Iran, Hungary}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
Germany,"{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Italy, Germany}","{Italy, Germany}","{Italy, Germany}","{Italy, Germany}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France, Japan}","{Italy, Germany, France, Japan}","{Italy, Germany, France, Japan}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
Nicaragua,"{Nicaragua}","{Nicaragua}","{Nicaragua}","{Nicaragua}","{Nicaragua}","{Nicaragua}","{Nicaragua}","{Nicaragua}","{Nicaragua}","{Nicaragua}","{Nicaragua}","{Nicaragua}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Yugoslavia,"{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia, Poland, Iran, Hungary}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
Italy,"{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy, Germany}","{Italy, Germany}","{Italy, Germany}","{Italy, Germany}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France, Japan}","{Italy, Germany, France, Japan}","{Italy, Germany, France, Japan}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
Puerto-Rico,"{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
El-Salvador,"{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Outlying-US(Guam-USVI-etc),"{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Jamaica,"{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Ireland,"{Ireland}","{Ireland}","{Ireland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Canada, India, Ireland, Scotland}","{England, Canada, India, Ireland, Scotland}","{England, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Columbia, Canada, South, India, Ireland, Scotland}","{England, United-States, ?, Columbia, Canada, South, India, Ireland, Scotland}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
