?,"{?}","{?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair, Machine-op-inspct, Farming-fishing}","{Craft-repair, Machine-op-inspct, Farming-fishing}","{Craft-repair, Machine-op-inspct, Farming-fishing}","{Craft-repair, Machine-op-inspct, Farming-fishing, Handlers-cleaners, Transport-moving}","{Craft-repair, Machine-op-inspct, Farming-fishing, Handlers-cleaners, Transport-moving}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Sales, Armed-Forces}","{Sales, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Sales,"{Sales}","{Sales, Armed-Forces}","{Sales, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Sales, Tech-support, Armed-Forces}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct, Farming-fishing}","{Craft-repair, Machine-op-inspct, Farming-fishing}","{Craft-repair, Machine-op-inspct, Farming-fishing}","{Craft-repair, Machine-op-inspct, Farming-fishing}","{Craft-repair, Machine-op-inspct, Farming-fishing, Handlers-cleaners, Transport-moving}","{Craft-repair, Machine-op-inspct, Farming-fishing, Handlers-cleaners, Transport-moving}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, ?}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Other-service, Sales, ?, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving, Handlers-cleaners}","{Transport-moving, Handlers-cleaners}","{Transport-moving, Handlers-cleaners}","{Transport-moving, Handlers-cleaners}","{Transport-moving, Handlers-cleaners}","{Craft-repair, Machine-op-inspct, Farming-fishing, Handlers-cleaners, Transport-moving}","{Craft-repair, Machine-op-inspct, Farming-fishing, Handlers-cleaners, Transport-moving}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
