?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{India, Mexico, ?, United-States, Canada, Iran}","{India, Mexico, ?, United-States, Canada, Iran}","{India, Mexico, ?, United-States, Canada, Iran}","{Scotland, India, Mexico, ?, United-States, Ireland, Canada, Iran, England}","{Scotland, India, Mexico, ?, United-States, Ireland, Canada, Iran, England}","{Scotland, Hungary, India, Italy, Mexico, Germany, ?, Poland, United-States, Holand-Netherlands, Greece, France, Portugal, Ireland, Canada, Yugoslavia, Iran, England}","{Scotland, Hungary, India, Italy, Mexico, Germany, ?, Poland, United-States, Holand-Netherlands, Greece, France, Portugal, Ireland, Canada, Yugoslavia, Iran, England}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Mexico, Laos, Holand-Netherlands, Hungary, Poland, Iran, Scotland, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Thailand,"{Laos, Thailand}","{Laos, Thailand}","{Laos, Thailand}","{Laos, Thailand}","{Laos, Thailand}","{Laos, Thailand}","{Laos, Thailand}","{Laos, Thailand}","{Laos, Thailand}","{Laos, Thailand}","{Laos, Thailand}","{Laos, Thailand}","{Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Mexico, Laos, Holand-Netherlands, Hungary, Poland, Iran, Scotland, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Dominican-Republic,"{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic, Cuba}","{Puerto-Rico, Dominican-Republic, Cuba}","{Puerto-Rico, Dominican-Republic, Cuba}","{Puerto-Rico, Dominican-Republic, Cuba}","{Puerto-Rico, Dominican-Republic, Cuba}","{Puerto-Rico, Dominican-Republic, Cuba}","{Puerto-Rico, Dominican-Republic, Cuba}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Columbia, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Columbia, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Nicaragua, Guatemala, El-Salvador, Columbia, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Nicaragua, Guatemala, El-Salvador, Columbia, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}",*
Guatemala,"{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Nicaragua, Guatemala, El-Salvador, Columbia, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Nicaragua, Guatemala, El-Salvador, Columbia, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}",*
Mexico,"{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Iran, Mexico}","{Iran, Mexico}","{Iran, Mexico}","{Iran, Mexico}","{Iran, Mexico}","{Iran, Mexico}","{Iran, Mexico}","{Iran, Mexico}","{Iran, Mexico}","{Iran, Mexico}","{Iran, Mexico}","{Iran, Mexico}","{Iran, Mexico}","{United-States, Iran, Canada, Mexico}","{United-States, Iran, Canada, Mexico}","{United-States, Iran, Canada, Mexico}","{India, Mexico, United-States, Canada, Iran}","{India, Mexico, United-States, Canada, Iran}","{India, Mexico, United-States, Canada, Iran}","{India, Mexico, United-States, Canada, Iran}","{India, Mexico, United-States, Canada, Iran}","{India, Mexico, United-States, Canada, Iran}","{India, Mexico, United-States, Canada, Iran}","{India, Mexico, ?, United-States, Canada, Iran}","{India, Mexico, ?, United-States, Canada, Iran}","{India, Mexico, ?, United-States, Canada, Iran}","{Scotland, India, Mexico, ?, United-States, Ireland, Canada, Iran, England}","{Scotland, India, Mexico, ?, United-States, Ireland, Canada, Iran, England}","{Scotland, Hungary, India, Italy, Mexico, Germany, ?, Poland, United-States, Holand-Netherlands, Greece, France, Portugal, Ireland, Canada, Yugoslavia, Iran, England}","{Scotland, Hungary, India, Italy, Mexico, Germany, ?, Poland, United-States, Holand-Netherlands, Greece, France, Portugal, Ireland, Canada, Yugoslavia, Iran, England}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Mexico, Laos, Holand-Netherlands, Hungary, Poland, Iran, Scotland, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Columbia,"{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{South, Columbia}","{South, Columbia}","{South, Columbia}","{South, Columbia}","{Trinadad&Tobago, South, Columbia, Outlying-US(Guam-USVI-etc)}","{Trinadad&Tobago, South, Columbia, Outlying-US(Guam-USVI-etc)}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Columbia, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Columbia, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Nicaragua, Guatemala, El-Salvador, Columbia, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Nicaragua, Guatemala, El-Salvador, Columbia, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}",*
Hong,"{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Mexico, Laos, Holand-Netherlands, Hungary, Poland, Iran, Scotland, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Portugal,"{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Germany, Italy, France, Portugal}","{Germany, Italy, France, Portugal}","{Germany, Italy, France, Portugal}","{Germany, Italy, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Holand-Netherlands, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Holand-Netherlands, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Holand-Netherlands, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Holand-Netherlands, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Holand-Netherlands, Greece, France, Portugal, Yugoslavia}","{Hungary, Italy, Germany, Poland, Holand-Netherlands, Greece, France, Portugal, Yugoslavia}","{Scotland, Hungary, India, Italy, Mexico, Germany, ?, Poland, United-States, Holand-Netherlands, Greece, France, Portugal, Ireland, Canada, Yugoslavia, Iran, England}","{Scotland, Hungary, India, Italy, Mexico, Germany, ?, Poland, United-States, Holand-Netherlands, Greece, France, Portugal, Ireland, Canada, Yugoslavia, Iran, England}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Mexico, Laos, Holand-Netherlands, Hungary, Poland, Iran, Scotland, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Puerto-Rico,"{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic, Cuba}","{Puerto-Rico, Dominican-Republic, Cuba}","{Puerto-Rico, Dominican-Republic, Cuba}","{Puerto-Rico, Dominican-Republic, Cuba}","{Puerto-Rico, Dominican-Republic, Cuba}","{Puerto-Rico, Dominican-Republic, Cuba}","{Puerto-Rico, Dominican-Republic, Cuba}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Columbia, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Columbia, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Nicaragua, Guatemala, El-Salvador, Columbia, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Outlying-US(Guam-USVI-etc), Nicaragua, Guatemala, El-Salvador, Columbia, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}",*
Cambodia,"{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Mexico, Laos, Holand-Netherlands, Hungary, Poland, Iran, Scotland, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
China,"{China}","{China, Japan}","{China, Japan}","{China, Japan}","{China, Japan}","{China, Japan}","{China, Japan}","{China, Japan}","{China, Japan}","{China, Japan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, Hong, Laos, Japan, Cambodia, China, Philippines, Vietnam}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Mexico, Laos, Holand-Netherlands, Hungary, Poland, Iran, Scotland, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
