?,"{?}","{?}","{?}","{Sales, ?}","{Sales, ?}","{Craft-repair, Sales, ?, Tech-support}","{Craft-repair, Sales, ?, Tech-support}","{Craft-repair, Sales, ?, Tech-support}","{Craft-repair, Sales, ?, Farming-fishing, Tech-support}","{Craft-repair, Sales, ?, Machine-op-inspct, Farming-fishing, Tech-support}","{Craft-repair, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}","{Exec-managerial, Adm-clerical, Prof-specialty}",*
Craft-repair,"{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Sales, ?, Tech-support}","{Craft-repair, Sales, ?, Tech-support}","{Craft-repair, Sales, ?, Tech-support}","{Craft-repair, Sales, ?, Farming-fishing, Tech-support}","{Craft-repair, Sales, ?, Machine-op-inspct, Farming-fishing, Tech-support}","{Craft-repair, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Craft-repair, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Sales,"{Sales}","{Sales}","{Sales}","{Sales, ?}","{Sales, ?}","{Craft-repair, Sales, ?, Tech-support}","{Craft-repair, Sales, ?, Tech-support}","{Craft-repair, Sales, ?, Tech-support}","{Craft-repair, Sales, ?, Farming-fishing, Tech-support}","{Craft-repair, Sales, ?, Machine-op-inspct, Farming-fishing, Tech-support}","{Craft-repair, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Sales, ?, Tech-support}","{Craft-repair, Sales, ?, Tech-support}","{Craft-repair, Sales, ?, Tech-support}","{Craft-repair, Sales, ?, Farming-fishing, Tech-support}","{Craft-repair, Sales, ?, Machine-op-inspct, Farming-fishing, Tech-support}","{Craft-repair, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Craft-repair, Sales, ?, Machine-op-inspct, Farming-fishing, Tech-support}","{Craft-repair, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Tech-support}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service, Transport-moving}","{Other-service, Transport-moving}","{Other-service, Transport-moving}","{Other-service, Transport-moving, Handlers-cleaners}","{Other-service, Transport-moving, Handlers-cleaners}","{Other-service, Transport-moving, Handlers-cleaners}","{Other-service, Transport-moving, Handlers-cleaners}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Other-service, Transport-moving}","{Other-service, Transport-moving}","{Other-service, Transport-moving}","{Other-service, Transport-moving, Handlers-cleaners}","{Other-service, Transport-moving, Handlers-cleaners}","{Other-service, Transport-moving, Handlers-cleaners}","{Other-service, Transport-moving, Handlers-cleaners}","{Craft-repair, Other-service, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
