Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Sales, ?, Farming-fishing, Machine-op-inspct, Craft-repair, Tech-support}","{Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Tech-support}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Sales, Protective-serv, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Handlers-cleaners,"{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Other-service, Handlers-cleaners, Transport-moving}","{Other-service, Handlers-cleaners, Transport-moving}","{Other-service, Handlers-cleaners, Transport-moving}","{Other-service, Handlers-cleaners, Transport-moving}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Sales, Protective-serv, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{Sales, ?, Farming-fishing, Craft-repair, Tech-support}","{Sales, ?, Farming-fishing, Machine-op-inspct, Craft-repair, Tech-support}","{Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Tech-support}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Sales, Protective-serv, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Protective-serv,"{Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Other-service, Sales, Protective-serv, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service, Transport-moving}","{Other-service, Transport-moving}","{Other-service, Transport-moving}","{Other-service, Handlers-cleaners, Transport-moving}","{Other-service, Handlers-cleaners, Transport-moving}","{Other-service, Handlers-cleaners, Transport-moving}","{Other-service, Handlers-cleaners, Transport-moving}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Sales, Protective-serv, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Sales, ?, Farming-fishing, Craft-repair, Tech-support}","{Sales, ?, Farming-fishing, Machine-op-inspct, Craft-repair, Tech-support}","{Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Tech-support}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Sales, Protective-serv, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Adm-clerical,"{Adm-clerical}","{Adm-clerical}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}",*
Tech-support,"{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{Craft-repair, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{Sales, ?, Farming-fishing, Craft-repair, Tech-support}","{Sales, ?, Farming-fishing, Machine-op-inspct, Craft-repair, Tech-support}","{Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Tech-support}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Sales, Protective-serv, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
?,"{?}","{?}","{?}","{Sales, ?}","{Sales, ?}","{?, Craft-repair, Sales, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{Sales, ?, Farming-fishing, Craft-repair, Tech-support}","{Sales, ?, Farming-fishing, Machine-op-inspct, Craft-repair, Tech-support}","{Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Tech-support}","{Other-service, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Sales, Protective-serv, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial}",*
