?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{South, Outlying-US(Guam-USVI-etc), ?, United-States, Columbia}","{South, Outlying-US(Guam-USVI-etc), ?, United-States, Columbia}","{South, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, Holand-Netherlands, Columbia}","{South, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, Holand-Netherlands, Columbia}","{South, Thailand, Taiwan, India, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, Japan, Laos, Holand-Netherlands, Cambodia, China, Philippines, Columbia, Canada, Vietnam, Iran}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Outlying-US(Guam-USVI-etc), Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Thailand,"{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{South, Thailand, Taiwan, India, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, Japan, Laos, Holand-Netherlands, Cambodia, China, Philippines, Columbia, Canada, Vietnam, Iran}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Outlying-US(Guam-USVI-etc), Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Dominican-Republic,"{Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}",*
Guatemala,"{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala}","{Guatemala, Honduras, Nicaragua}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Guatemala, Honduras, Nicaragua, El-Salvador}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Jamaica, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}",*
Mexico,"{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Peru, Mexico}","{Peru, Mexico}","{Peru, Mexico}","{Peru, Mexico}","{Peru, Mexico}","{Peru, Mexico}","{Peru, Mexico}","{Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Jamaica, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}",*
Columbia,"{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{South, Columbia}","{South, Columbia}","{South, Columbia}","{South, Columbia, Outlying-US(Guam-USVI-etc), United-States}","{South, Columbia, Outlying-US(Guam-USVI-etc), United-States}","{South, Outlying-US(Guam-USVI-etc), ?, United-States, Columbia}","{South, Outlying-US(Guam-USVI-etc), ?, United-States, Columbia}","{South, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, Holand-Netherlands, Columbia}","{South, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, Holand-Netherlands, Columbia}","{South, Thailand, Taiwan, India, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, Japan, Laos, Holand-Netherlands, Cambodia, China, Philippines, Columbia, Canada, Vietnam, Iran}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Outlying-US(Guam-USVI-etc), Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Hong,"{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong, Holand-Netherlands}","{Hong, Holand-Netherlands}","{Hong, Holand-Netherlands}","{Hong, Holand-Netherlands}","{Hong, Holand-Netherlands}","{Hong, Holand-Netherlands}","{Hong, Holand-Netherlands}","{Hong, Holand-Netherlands}","{Hong, Holand-Netherlands}","{South, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, Holand-Netherlands, Columbia}","{South, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, Holand-Netherlands, Columbia}","{South, Thailand, Taiwan, India, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, Japan, Laos, Holand-Netherlands, Cambodia, China, Philippines, Columbia, Canada, Vietnam, Iran}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Outlying-US(Guam-USVI-etc), Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Portugal,"{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Italy, Germany, Greece, France, Portugal}","{Scotland, Italy, Germany, Greece, France, Ireland, Portugal, England}","{Scotland, Italy, Germany, Greece, France, Ireland, Portugal, England}","{Scotland, Italy, Germany, Greece, France, Ireland, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Outlying-US(Guam-USVI-etc), Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Puerto-Rico,"{Puerto-Rico}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Puerto-Rico, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}",*
Cambodia,"{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{South, Thailand, Taiwan, India, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, Japan, Laos, Holand-Netherlands, Cambodia, China, Philippines, Columbia, Canada, Vietnam, Iran}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Outlying-US(Guam-USVI-etc), Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
China,"{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China, India}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{China, Canada, India, Japan}","{India, Taiwan, Japan, China, Philippines, Canada}","{India, Taiwan, Japan, China, Philippines, Canada}","{India, Taiwan, Japan, China, Philippines, Canada}","{India, Taiwan, Japan, China, Philippines, Canada}","{India, Taiwan, Japan, China, Philippines, Canada}","{India, Taiwan, Japan, China, Philippines, Canada, Iran}","{India, Taiwan, Japan, China, Philippines, Canada, Iran}","{India, Taiwan, Japan, China, Philippines, Canada, Iran}","{India, Taiwan, Japan, China, Philippines, Canada, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Canada, Vietnam, Iran}","{South, Thailand, Taiwan, India, Outlying-US(Guam-USVI-etc), ?, Hong, United-States, Japan, Laos, Holand-Netherlands, Cambodia, China, Philippines, Columbia, Canada, Vietnam, Iran}","{India, ?, Hong, Cambodia, France, Canada, Thailand, Italy, Outlying-US(Guam-USVI-etc), Laos, Holand-Netherlands, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
