Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Transport-moving, Machine-op-inspct}","{Handlers-cleaners, Transport-moving, Machine-op-inspct}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Handlers-cleaners,"{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Transport-moving, Machine-op-inspct}","{Handlers-cleaners, Transport-moving, Machine-op-inspct}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Protective-serv,"{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}",*
Other-service,"{Other-service}","{Other-service}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Adm-clerical,"{Adm-clerical}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Sales, Adm-clerical, Exec-managerial, ?, Armed-Forces, Tech-support}","{Sales, Adm-clerical, Exec-managerial, ?, Armed-Forces, Tech-support}","{Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Sales, Tech-support}","{Sales, Tech-support}","{Sales, Tech-support}","{?, Sales, Tech-support}","{?, Armed-Forces, Sales, Tech-support}","{?, Armed-Forces, Sales, Tech-support}","{Sales, Adm-clerical, Exec-managerial, ?, Armed-Forces, Tech-support}","{Sales, Adm-clerical, Exec-managerial, ?, Armed-Forces, Tech-support}","{Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?, Sales, Tech-support}","{?, Armed-Forces, Sales, Tech-support}","{?, Armed-Forces, Sales, Tech-support}","{Sales, Adm-clerical, Exec-managerial, ?, Armed-Forces, Tech-support}","{Sales, Adm-clerical, Exec-managerial, ?, Armed-Forces, Tech-support}","{Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Exec-managerial,"{Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Sales, Adm-clerical, Exec-managerial, ?, Armed-Forces, Tech-support}","{Sales, Adm-clerical, Exec-managerial, ?, Armed-Forces, Tech-support}","{Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Sales,"{Sales}","{Sales}","{Sales}","{Sales}","{Sales, Tech-support}","{Sales, Tech-support}","{Sales, Tech-support}","{?, Sales, Tech-support}","{?, Armed-Forces, Sales, Tech-support}","{?, Armed-Forces, Sales, Tech-support}","{Sales, Adm-clerical, Exec-managerial, ?, Armed-Forces, Tech-support}","{Sales, Adm-clerical, Exec-managerial, ?, Armed-Forces, Tech-support}","{Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Priv-house-serv,"{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{?, Armed-Forces, Sales, Tech-support}","{?, Armed-Forces, Sales, Tech-support}","{Sales, Adm-clerical, Exec-managerial, ?, Armed-Forces, Tech-support}","{Sales, Adm-clerical, Exec-managerial, ?, Armed-Forces, Tech-support}","{Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Handlers-cleaners, Transport-moving, Machine-op-inspct}","{Handlers-cleaners, Transport-moving, Machine-op-inspct}","{Farming-fishing, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}","{Adm-clerical, Exec-managerial, Sales, ?, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
