Iran,"{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Taiwan, Iran, China, Japan}","{Taiwan, Iran, China, Japan}","{Taiwan, Iran, China, Japan}","{Taiwan, Iran, China, Japan}","{Taiwan, Iran, China, Japan}","{Taiwan, Iran, United-States, China, Japan, Mexico, Canada, India}","{Taiwan, Iran, United-States, China, Japan, Mexico, Canada, India}","{Taiwan, Iran, United-States, China, Japan, Mexico, Canada, India}","{Taiwan, Iran, Philippines, United-States, Thailand, China, Japan, Mexico, Laos, Canada, Cambodia, Vietnam, India}","{Taiwan, Iran, Philippines, Hong, United-States, Thailand, China, Japan, ?, Columbia, Mexico, Laos, Canada, Cambodia, Vietnam, South, India, Cuba}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Germany,"{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Nicaragua,"{Nicaragua}","{Nicaragua}","{Nicaragua, Honduras}","{Nicaragua, Honduras}","{Nicaragua, Honduras}","{Nicaragua, Honduras}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Honduras, Peru, Guatemala, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, El-Salvador, Ecuador, Nicaragua}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}",*
Yugoslavia,"{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia}","{Yugoslavia, Greece, Hungary}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Italy,"{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy}","{Italy, Portugal, Poland}","{Italy, Portugal, Poland}","{Italy, Portugal, Poland}","{Italy, Portugal, Poland}","{Italy, Portugal, Poland}","{Italy, Portugal, Poland}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Puerto-Rico,"{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}",*
El-Salvador,"{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Honduras, Peru, Guatemala, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, El-Salvador, Ecuador, Nicaragua}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}",*
Outlying-US(Guam-USVI-etc),"{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Outlying-US(Guam-USVI-etc)}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}",*
Jamaica,"{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}",*
Ireland,"{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{England, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Holand-Netherlands,"{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
