Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Adm-clerical, Exec-managerial, Machine-op-inspct}","{Handlers-cleaners, Adm-clerical, Exec-managerial, Machine-op-inspct}","{Handlers-cleaners, Adm-clerical, Exec-managerial, Machine-op-inspct}","{Adm-clerical, Exec-managerial, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}",*
Handlers-cleaners,"{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Machine-op-inspct}","{Handlers-cleaners, Adm-clerical, Exec-managerial, Machine-op-inspct}","{Handlers-cleaners, Adm-clerical, Exec-managerial, Machine-op-inspct}","{Handlers-cleaners, Adm-clerical, Exec-managerial, Machine-op-inspct}","{Adm-clerical, Exec-managerial, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair, Transport-moving}","{Farming-fishing, Craft-repair, Transport-moving}","{Farming-fishing, Craft-repair, Transport-moving}","{Farming-fishing, Craft-repair, Armed-Forces, Transport-moving}","{Adm-clerical, Exec-managerial, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}",*
Protective-serv,"{Priv-house-serv, Protective-serv}","{Priv-house-serv, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Priv-house-serv, Prof-specialty, Other-service, Protective-serv}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair}","{Farming-fishing, Craft-repair, Transport-moving}","{Farming-fishing, Craft-repair, Transport-moving}","{Farming-fishing, Craft-repair, Transport-moving}","{Farming-fishing, Craft-repair, Armed-Forces, Transport-moving}","{Adm-clerical, Exec-managerial, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}",*
Adm-clerical,"{Adm-clerical}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Handlers-cleaners, Adm-clerical, Exec-managerial, Machine-op-inspct}","{Handlers-cleaners, Adm-clerical, Exec-managerial, Machine-op-inspct}","{Handlers-cleaners, Adm-clerical, Exec-managerial, Machine-op-inspct}","{Adm-clerical, Exec-managerial, Farming-fishing, Armed-Forces, Machine-op-inspct, Craft-repair, Handlers-cleaners, Transport-moving}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Sales, Tech-support}","{Sales, Tech-support}","{Sales, Tech-support}","{?, Sales, Tech-support}","{?, Sales, Tech-support}","{?, Sales, Tech-support}","{?, Sales, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}",*
?,"{?}","{?}","{?}","{?}","{?}","{?}","{?, Sales, Tech-support}","{?, Sales, Tech-support}","{?, Sales, Tech-support}","{?, Sales, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Tech-support}",*
