Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school, HS-grad}","{Prof-school, Some-college, HS-grad}","{Prof-school, Some-college, HS-grad}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool}",*
11th,"{11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}",*
7th-8th,"{7th-8th}","{7th-8th}","{5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}",*
Assoc-acdm,"{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool}",*
12th,"{11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool}",*
Bachelors,"{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Prof-school, Some-college, HS-grad}","{Prof-school, Some-college, HS-grad}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool}",*
