?,"{Guatemala, ?}","{Guatemala, Cambodia, ?}","{Guatemala, Cambodia, ?, Honduras}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Honduras}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}",*
Thailand,"{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand, Japan}","{Thailand, Japan}","{Vietnam, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Dominican-Republic,"{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{El-Salvador, Holand-Netherlands, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{El-Salvador, Holand-Netherlands, Dominican-Republic, Outlying-US(Guam-USVI-etc)}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Guatemala,"{Guatemala, ?}","{Guatemala, Cambodia, ?}","{Guatemala, Cambodia, ?, Honduras}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Honduras}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}",*
Mexico,"{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Columbia,"{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Columbia}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Hong,"{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Hong}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Portugal,"{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Scotland, Italy, Greece, Portugal, England}","{Scotland, Italy, Greece, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Puerto-Rico,"{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Puerto-Rico}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Laos, United-States, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Cambodia,"{Cambodia}","{Guatemala, Cambodia, ?}","{Guatemala, Cambodia, ?, Honduras}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Honduras}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}","{Trinadad&Tobago, Guatemala, ?, Cambodia, Yugoslavia, Honduras, Nicaragua}",*
