Machine-op-inspct,"{Priv-house-serv, Machine-op-inspct}","{Priv-house-serv, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Prof-specialty, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Prof-specialty, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Prof-specialty, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Prof-specialty, Protective-serv, Machine-op-inspct}","{Prof-specialty, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Handlers-cleaners,"{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Craft-repair, Handlers-cleaners}","{Prof-specialty, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair, Handlers-cleaners}","{Prof-specialty, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Protective-serv,"{Protective-serv}","{Priv-house-serv, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Prof-specialty, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Prof-specialty, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Prof-specialty, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Prof-specialty, Protective-serv, Machine-op-inspct}","{Prof-specialty, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Other-service, Tech-support}","{Other-service, Tech-support}","{Other-service, Transport-moving, Tech-support}","{Other-service, Transport-moving, Tech-support}","{Other-service, Transport-moving, Tech-support}","{Other-service, Transport-moving, Tech-support}","{Other-service, Transport-moving, Tech-support}","{Armed-Forces, Other-service, Transport-moving, Tech-support}","{Other-service, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Priv-house-serv, Prof-specialty, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Prof-specialty, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Prof-specialty, Protective-serv, Machine-op-inspct}","{Priv-house-serv, Prof-specialty, Protective-serv, Machine-op-inspct}","{Prof-specialty, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Other-service, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Adm-clerical,"{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Other-service, Tech-support}","{Other-service, Tech-support}","{Other-service, Transport-moving, Tech-support}","{Other-service, Transport-moving, Tech-support}","{Other-service, Transport-moving, Tech-support}","{Other-service, Transport-moving, Tech-support}","{Other-service, Transport-moving, Tech-support}","{Armed-Forces, Other-service, Transport-moving, Tech-support}","{Other-service, Farming-fishing, Armed-Forces, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}",*
