age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;income
39;State-gov;77516;Undergraduate;13;Never-married;Adm-clerical;Not-in-family;White;Male;2174;0;40;United-States;<=50K
50;Self-emp-not-inc;83311;Undergraduate;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;13;United-States;<=50K
38;Private;215646;High School;9;Divorced;Handlers-cleaners;Not-in-family;White;Male;0;0;40;United-States;<=50K
53;Private;234721;High School;7;Married-civ-spouse;Handlers-cleaners;Husband;Black;Male;0;0;40;United-States;<=50K
28;*;338409;*;13;Married-civ-spouse;*;Wife;Black;Female;0;0;40;*;<=50K
37;Private;284582;Graduate;14;Married-civ-spouse;Exec-managerial;Wife;White;Female;0;0;40;United-States;<=50K
49;*;160187;*;5;Married-spouse-absent;*;Not-in-family;Black;Female;0;0;16;*;<=50K
52;Self-emp-not-inc;209642;High School;9;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;45;United-States;>50K
31;Private;45781;Graduate;14;Never-married;Prof-specialty;Not-in-family;White;Female;14084;0;50;United-States;>50K
42;Private;159449;Undergraduate;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;5178;0;40;United-States;>50K
37;Private;280464;Undergraduate;10;Married-civ-spouse;Exec-managerial;Husband;Black;Male;0;0;80;United-States;>50K
30;*;141297;*;13;Married-civ-spouse;*;Husband;Asian-Pac-Islander;Male;0;0;40;*;>50K
23;Private;122272;Undergraduate;13;Never-married;Adm-clerical;Own-child;White;Female;0;0;30;United-States;<=50K
32;Private;205019;Professional Education;12;Never-married;Sales;Not-in-family;Black;Male;0;0;50;United-States;<=50K
40;*;121772;*;11;Married-civ-spouse;*;Husband;Asian-Pac-Islander;Male;0;0;40;*;>50K
34;*;245487;*;4;Married-civ-spouse;*;Husband;Amer-Indian-Eskimo;Male;0;0;45;*;<=50K
25;Self-emp-not-inc;176756;High School;9;Never-married;Farming-fishing;Own-child;White;Male;0;0;35;United-States;<=50K
32;Private;186824;High School;9;Never-married;Machine-op-inspct;Unmarried;White;Male;0;0;40;United-States;<=50K
38;Private;28887;High School;7;Married-civ-spouse;Sales;Husband;White;Male;0;0;50;United-States;<=50K
43;Self-emp-not-inc;292175;Graduate;14;Divorced;Exec-managerial;Unmarried;White;Female;0;0;45;United-States;>50K
40;Private;193524;Graduate;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;60;United-States;>50K
54;Private;302146;High School;9;Separated;Other-service;Unmarried;Black;Female;0;0;20;United-States;<=50K
35;*;76845;*;5;Married-civ-spouse;*;Husband;Black;Male;0;0;40;*;<=50K
43;Private;117037;High School;7;Married-civ-spouse;Transport-moving;Husband;White;Male;0;2042;40;United-States;<=50K
59;Private;109015;High School;9;Divorced;Tech-support;Unmarried;White;Female;0;0;40;United-States;<=50K
56;Local-gov;216851;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;40;United-States;>50K
19;Private;168294;High School;9;Never-married;Craft-repair;Own-child;White;Male;0;0;40;United-States;<=50K
54;*;180211;*;10;Married-civ-spouse;*;Husband;Asian-Pac-Islander;Male;0;0;60;*;>50K
39;Private;367260;High School;9;Divorced;Exec-managerial;Not-in-family;White;Male;0;0;80;United-States;<=50K
49;Private;193366;High School;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;<=50K
23;Local-gov;190709;Professional Education;12;Never-married;Protective-serv;Not-in-family;White;Male;0;0;52;United-States;<=50K
20;Private;266015;Undergraduate;10;Never-married;Sales;Own-child;Black;Male;0;0;44;United-States;<=50K
45;Private;386940;Undergraduate;13;Divorced;Exec-managerial;Own-child;White;Male;0;1408;40;United-States;<=50K
30;Federal-gov;59951;Undergraduate;10;Married-civ-spouse;Adm-clerical;Own-child;White;Male;0;0;40;United-States;<=50K
22;*;311512;*;10;Married-civ-spouse;*;Husband;Black;Male;0;0;15;*;<=50K
48;*;242406;*;7;Never-married;*;Unmarried;White;Male;0;0;40;*;<=50K
21;Private;197200;Undergraduate;10;Never-married;Machine-op-inspct;Own-child;White;Male;0;0;40;United-States;<=50K
19;Private;544091;High School;9;Married-AF-spouse;Adm-clerical;Wife;White;Female;0;0;25;United-States;<=50K
31;Private;84154;Undergraduate;10;Married-civ-spouse;Sales;Husband;White;Male;0;0;38;?;>50K
48;Self-emp-not-inc;265477;Professional Education;12;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;40;United-States;<=50K
31;Private;507875;High School;5;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0;0;43;United-States;<=50K
53;Self-emp-not-inc;88506;Undergraduate;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;40;United-States;<=50K
24;Private;172987;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;50;United-States;<=50K
49;Private;94638;High School;9;Separated;Adm-clerical;Unmarried;White;Female;0;0;40;United-States;<=50K
25;Private;289980;High School;9;Never-married;Handlers-cleaners;Not-in-family;White;Male;0;0;35;United-States;<=50K
57;Federal-gov;337895;Undergraduate;13;Married-civ-spouse;Prof-specialty;Husband;Black;Male;0;0;40;United-States;>50K
53;Private;144361;High School;9;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0;0;38;United-States;<=50K
44;Private;128354;Graduate;14;Divorced;Exec-managerial;Unmarried;White;Female;0;0;40;United-States;<=50K
41;*;101603;*;11;Married-civ-spouse;*;Husband;White;Male;0;0;40;*;<=50K
29;Private;271466;Professional Education;11;Never-married;Prof-specialty;Not-in-family;White;Male;0;0;43;United-States;<=50K
25;Private;32275;Undergraduate;10;Married-civ-spouse;Exec-managerial;Wife;Other;Female;0;0;40;United-States;<=50K
18;*;226956;*;9;Never-married;*;Own-child;White;Female;0;0;30;*;<=50K
47;*;51835;*;15;Married-civ-spouse;*;Wife;White;Female;0;1902;60;*;>50K
50;Federal-gov;251585;Undergraduate;13;Divorced;Exec-managerial;Not-in-family;White;Male;0;0;55;United-States;>50K
47;Self-emp-inc;109832;High School;9;Divorced;Exec-managerial;Not-in-family;White;Male;0;0;60;United-States;<=50K
43;Private;237993;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;40;United-States;>50K
46;Private;216666;Primary School;3;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0;0;40;Mexico;<=50K
35;*;56352;*;11;Married-civ-spouse;*;Husband;White;Male;0;0;40;*;<=50K
41;Private;147372;High School;9;Married-civ-spouse;Adm-clerical;Husband;White;Male;0;0;48;United-States;<=50K
30;Private;188146;High School;9;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;5013;0;40;United-States;<=50K
30;Private;59496;Undergraduate;13;Married-civ-spouse;Sales;Husband;White;Male;2407;0;40;United-States;<=50K
32;*;293936;*;4;Married-spouse-absent;*;Not-in-family;White;Male;0;0;40;*;<=50K
48;Private;149640;High School;9;Married-civ-spouse;Transport-moving;Husband;White;Male;0;0;40;United-States;<=50K
42;Private;116632;Graduate;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;45;United-States;>50K
29;Private;105598;Undergraduate;10;Divorced;Tech-support;Not-in-family;White;Male;0;0;58;United-States;<=50K
36;Private;155537;High School;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;<=50K
28;Private;183175;Undergraduate;10;Divorced;Adm-clerical;Not-in-family;White;Female;0;0;40;United-States;<=50K
53;Private;169846;High School;9;Married-civ-spouse;Adm-clerical;Wife;White;Female;0;0;40;United-States;>50K
49;Self-emp-inc;191681;Undergraduate;10;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;50;United-States;>50K
25;?;200681;Undergraduate;10;Never-married;?;Own-child;White;Male;0;0;40;United-States;<=50K
19;Private;101509;Undergraduate;10;Never-married;Prof-specialty;Own-child;White;Male;0;0;32;United-States;<=50K
31;Private;309974;Undergraduate;13;Separated;Sales;Own-child;Black;Female;0;0;40;United-States;<=50K
29;Self-emp-not-inc;162298;Undergraduate;13;Married-civ-spouse;Sales;Husband;White;Male;0;0;70;United-States;>50K
23;Private;211678;Undergraduate;10;Never-married;Machine-op-inspct;Not-in-family;White;Male;0;0;40;United-States;<=50K
79;Private;124744;Undergraduate;10;Married-civ-spouse;Prof-specialty;Other-relative;White;Male;0;0;20;United-States;<=50K
27;Private;213921;High School;9;Never-married;Other-service;Own-child;White;Male;0;0;40;Mexico;<=50K
40;Private;32214;Professional Education;12;Married-civ-spouse;Adm-clerical;Husband;White;Male;0;0;40;United-States;<=50K
67;?;212759;High School;6;Married-civ-spouse;?;Husband;White;Male;0;0;2;United-States;<=50K
18;Private;309634;High School;7;Never-married;Other-service;Own-child;White;Female;0;0;22;United-States;<=50K
31;*;125927;*;4;Married-civ-spouse;*;Husband;White;Male;0;0;40;*;<=50K
18;Private;446839;High School;9;Never-married;Sales;Not-in-family;White;Male;0;0;30;United-States;<=50K
52;*;276515;*;13;Married-civ-spouse;*;Husband;White;Male;0;0;40;*;<=50K
46;Private;51618;High School;9;Married-civ-spouse;Other-service;Wife;White;Female;0;0;40;United-States;<=50K
59;Private;159937;High School;9;Married-civ-spouse;Sales;Husband;White;Male;0;0;48;United-States;<=50K
44;Private;343591;High School;9;Divorced;Craft-repair;Not-in-family;White;Female;14344;0;40;United-States;>50K
53;Private;346253;High School;9;Divorced;Sales;Own-child;White;Female;0;0;35;United-States;<=50K
49;Local-gov;268234;High School;9;Married-civ-spouse;Protective-serv;Husband;White;Male;0;0;40;United-States;>50K
33;Private;202051;Graduate;14;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;50;United-States;<=50K
30;Private;54334;High School;5;Never-married;Sales;Not-in-family;White;Male;0;0;40;United-States;<=50K
43;Federal-gov;410867;Graduate;16;Never-married;Prof-specialty;Not-in-family;White;Female;0;0;50;United-States;>50K
57;Private;249977;Professional Education;11;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;40;United-States;<=50K
37;Private;286730;Undergraduate;10;Divorced;Craft-repair;Unmarried;White;Female;0;0;40;United-States;<=50K
28;Private;212563;Undergraduate;10;Divorced;Machine-op-inspct;Unmarried;Black;Female;0;0;25;United-States;<=50K
30;*;117747;*;9;Married-civ-spouse;*;Wife;Asian-Pac-Islander;Female;0;1573;35;*;<=50K
34;Local-gov;226296;Undergraduate;13;Married-civ-spouse;Protective-serv;Husband;White;Male;0;0;40;United-States;>50K
29;Local-gov;115585;Undergraduate;10;Never-married;Handlers-cleaners;Not-in-family;White;Male;0;0;50;United-States;<=50K
48;Self-emp-not-inc;191277;Graduate;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;1902;60;United-States;>50K
37;Private;202683;Undergraduate;10;Married-civ-spouse;Sales;Husband;White;Male;0;0;48;United-States;>50K
48;*;171095;*;12;Divorced;*;Unmarried;White;Female;0;0;40;*;<=50K
32;*;249409;*;9;Never-married;*;Own-child;Black;Male;0;0;40;*;<=50K
76;Private;124191;Graduate;14;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;40;United-States;>50K
44;Private;198282;Undergraduate;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;15024;0;60;United-States;>50K
47;Self-emp-not-inc;149116;Graduate;14;Never-married;Prof-specialty;Not-in-family;White;Female;0;0;50;United-States;<=50K
20;Private;188300;Undergraduate;10;Never-married;Tech-support;Own-child;White;Female;0;0;40;United-States;<=50K
29;Private;103432;High School;9;Never-married;Craft-repair;Not-in-family;White;Male;0;0;40;United-States;<=50K
32;Self-emp-inc;317660;High School;9;Married-civ-spouse;Craft-repair;Husband;White;Male;7688;0;40;United-States;>50K
17;?;304873;High School;6;Never-married;?;Own-child;White;Female;34095;0;32;United-States;<=50K
30;Private;194901;High School;7;Never-married;Handlers-cleaners;Own-child;White;Male;0;0;40;United-States;<=50K
31;Local-gov;189265;High School;9;Never-married;Adm-clerical;Not-in-family;White;Female;0;0;40;United-States;<=50K
42;Private;124692;High School;9;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;0;0;40;United-States;<=50K
24;Private;432376;Undergraduate;13;Never-married;Sales;Other-relative;White;Male;0;0;40;United-States;<=50K
38;Private;65324;Professional Education;15;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;40;United-States;>50K
56;*;335605;*;9;Married-civ-spouse;*;Husband;White;Male;0;1887;50;*;>50K
28;Private;377869;Undergraduate;10;Married-civ-spouse;Sales;Wife;White;Female;4064;0;25;United-States;<=50K
36;Private;102864;High School;9;Never-married;Machine-op-inspct;Own-child;White;Female;0;0;40;United-States;<=50K
53;Private;95647;High School;5;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;0;0;50;United-States;<=50K
56;Self-emp-inc;303090;Undergraduate;10;Married-civ-spouse;Sales;Husband;White;Male;0;0;50;United-States;<=50K
49;Local-gov;197371;Professional Education;11;Married-civ-spouse;Craft-repair;Husband;Black;Male;0;0;40;United-States;>50K
55;Private;247552;Undergraduate;10;Married-civ-spouse;Sales;Husband;White;Male;0;0;56;United-States;<=50K
22;Private;102632;High School;9;Never-married;Craft-repair;Not-in-family;White;Male;0;0;41;United-States;<=50K
21;Private;199915;Undergraduate;10;Never-married;Other-service;Own-child;White;Female;0;0;40;United-States;<=50K
40;Private;118853;Undergraduate;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;60;United-States;<=50K
30;*;77143;*;13;Never-married;*;Own-child;Black;Male;0;0;40;*;<=50K
29;State-gov;267989;Undergraduate;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;50;United-States;>50K
19;Private;301606;Undergraduate;10;Never-married;Other-service;Own-child;Black;Male;0;0;35;United-States;<=50K
47;Private;287828;Undergraduate;13;Married-civ-spouse;Exec-managerial;Wife;White;Female;0;0;40;United-States;>50K
20;Private;111697;Undergraduate;10;Never-married;Adm-clerical;Own-child;White;Female;0;1719;28;United-States;<=50K
31;Private;114937;Professional Education;12;Married-civ-spouse;Adm-clerical;Husband;White;Male;0;0;40;United-States;>50K
35;?;129305;High School;9;Married-civ-spouse;?;Husband;White;Male;0;0;40;United-States;<=50K
39;Private;365739;Undergraduate;10;Divorced;Craft-repair;Not-in-family;White;Male;0;0;40;United-States;<=50K
28;Private;69621;Professional Education;12;Never-married;Sales;Not-in-family;White;Female;0;0;60;United-States;<=50K
24;Private;43323;High School;9;Never-married;Other-service;Not-in-family;White;Female;0;1762;40;United-States;<=50K
38;Self-emp-not-inc;120985;High School;9;Married-civ-spouse;Craft-repair;Husband;White;Male;4386;0;35;United-States;<=50K
37;Private;254202;Undergraduate;13;Married-civ-spouse;Sales;Husband;White;Male;0;0;50;United-States;<=50K
46;Private;146195;Professional Education;12;Divorced;Tech-support;Not-in-family;Black;Female;0;0;36;United-States;<=50K
38;*;125933;*;14;Married-civ-spouse;*;Husband;White;Male;0;0;40;*;>50K
43;Self-emp-not-inc;56920;High School;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;60;United-States;<=50K
27;Private;163127;Professional Education;11;Married-civ-spouse;Adm-clerical;Wife;White;Female;0;0;35;United-States;<=50K
20;Private;34310;Undergraduate;10;Never-married;Sales;Own-child;White;Male;0;0;20;United-States;<=50K
49;Private;81973;Undergraduate;10;Married-civ-spouse;Craft-repair;Husband;Asian-Pac-Islander;Male;0;0;40;United-States;>50K
61;Self-emp-inc;66614;High School;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;<=50K
27;Private;232782;Undergraduate;10;Never-married;Sales;Own-child;White;Female;0;0;40;United-States;<=50K
19;Private;316868;Undergraduate;10;Never-married;Other-service;Own-child;White;Male;0;0;30;Mexico;<=50K
45;Private;196584;Professional Education;11;Never-married;Prof-specialty;Not-in-family;White;Female;0;1564;40;United-States;>50K
70;Private;105376;Undergraduate;10;Never-married;Tech-support;Other-relative;White;Male;0;0;40;United-States;<=50K
31;Private;185814;High School;9;Never-married;Transport-moving;Unmarried;Black;Female;0;0;30;United-States;<=50K
22;Private;175374;Undergraduate;10;Married-civ-spouse;Other-service;Husband;White;Male;0;0;24;United-States;<=50K
36;Private;108293;High School;9;Widowed;Other-service;Unmarried;White;Female;0;0;24;United-States;<=50K
64;Private;181232;High School;7;Married-civ-spouse;Craft-repair;Husband;White;Male;0;2179;40;United-States;<=50K
43;?;174662;Undergraduate;10;Divorced;?;Not-in-family;White;Female;0;0;40;United-States;<=50K
47;*;186009;*;10;Divorced;*;Unmarried;White;Female;0;0;38;*;<=50K
34;Private;198183;High School;9;Never-married;Adm-clerical;Not-in-family;White;Female;0;0;40;United-States;<=50K
33;*;163003;*;13;Never-married;*;Other-relative;Asian-Pac-Islander;Female;0;0;40;*;<=50K
21;Private;296158;High School;9;Never-married;Craft-repair;Own-child;White;Male;0;0;35;United-States;<=50K
52;?;252903;High School;9;Divorced;?;Not-in-family;White;Male;0;0;45;United-States;>50K
48;Private;187715;High School;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;46;United-States;<=50K
23;Private;214542;Undergraduate;13;Never-married;Handlers-cleaners;Not-in-family;White;Male;0;0;40;United-States;<=50K
