age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;income
39;State-gov;77516;{Bachelors, Assoc-acdm, Assoc-voc};13;Never-married;{Adm-clerical};Not-in-family;White;Male;2174;0;40;United-States;<=50K
50;Self-emp-not-inc;83311;{Bachelors, Assoc-acdm, Assoc-voc};13;Married-civ-spouse;{Exec-managerial};Husband;White;Male;0;0;13;United-States;<=50K
38;Private;215646;{HS-grad, Some-college};9;Divorced;{?, Handlers-cleaners};Not-in-family;White;Male;0;0;40;United-States;<=50K
53;Private;234721;{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th};7;Married-civ-spouse;{?, Handlers-cleaners};Husband;Black;Male;0;0;40;United-States;<=50K
28;Private;338409;{Bachelors, Assoc-acdm, Assoc-voc};13;Married-civ-spouse;{Prof-specialty};Wife;Black;Female;0;0;40;Cuba;<=50K
37;Private;284582;{Masters};14;Married-civ-spouse;{Exec-managerial};Wife;White;Female;0;0;40;United-States;<=50K
49;*;160187;*;5;Married-spouse-absent;*;Not-in-family;Black;Female;0;0;16;*;<=50K
52;Self-emp-not-inc;209642;{HS-grad, Some-college};9;Married-civ-spouse;{Exec-managerial};Husband;White;Male;0;0;45;United-States;>50K
31;Private;45781;{Masters};14;Never-married;{Prof-specialty};Not-in-family;White;Female;14084;0;50;United-States;>50K
42;Private;159449;{Bachelors, Assoc-acdm, Assoc-voc};13;Married-civ-spouse;{Exec-managerial};Husband;White;Male;5178;0;40;United-States;>50K
37;Private;280464;{HS-grad, Some-college};10;Married-civ-spouse;{Exec-managerial};Husband;Black;Male;0;0;80;United-States;>50K
30;*;141297;*;13;Married-civ-spouse;*;Husband;Asian-Pac-Islander;Male;0;0;40;*;>50K
23;Private;122272;{Bachelors, Assoc-acdm, Assoc-voc};13;Never-married;{Adm-clerical};Own-child;White;Female;0;0;30;United-States;<=50K
32;Private;205019;{Bachelors, Assoc-acdm, Assoc-voc};12;Never-married;{Sales};Not-in-family;Black;Male;0;0;50;United-States;<=50K
40;Private;121772;{Bachelors, Assoc-acdm, Assoc-voc};11;Married-civ-spouse;{Craft-repair};Husband;Asian-Pac-Islander;Male;0;0;40;?;>50K
34;*;245487;*;4;Married-civ-spouse;*;Husband;Amer-Indian-Eskimo;Male;0;0;45;*;<=50K
25;Self-emp-not-inc;176756;{HS-grad, Some-college};9;Never-married;{Farming-fishing};Own-child;White;Male;0;0;35;United-States;<=50K
32;Private;186824;{HS-grad, Some-college};9;Never-married;{Machine-op-inspct, Priv-house-serv};Unmarried;White;Male;0;0;40;United-States;<=50K
38;Private;28887;{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th};7;Married-civ-spouse;{Sales};Husband;White;Male;0;0;50;United-States;<=50K
43;Self-emp-not-inc;292175;{Masters};14;Divorced;{Exec-managerial};Unmarried;White;Female;0;0;45;United-States;>50K
40;Private;193524;{Doctorate};16;Married-civ-spouse;{Prof-specialty};Husband;White;Male;0;0;60;United-States;>50K
54;Private;302146;{HS-grad, Some-college};9;Separated;{Other-service};Unmarried;Black;Female;0;0;20;United-States;<=50K
35;*;76845;*;5;Married-civ-spouse;*;Husband;Black;Male;0;0;40;*;<=50K
43;Private;117037;{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th};7;Married-civ-spouse;{Transport-moving};Husband;White;Male;0;2042;40;United-States;<=50K
59;Private;109015;{HS-grad, Some-college};9;Divorced;{Tech-support};Unmarried;White;Female;0;0;40;United-States;<=50K
56;Local-gov;216851;{Bachelors, Assoc-acdm, Assoc-voc};13;Married-civ-spouse;{Tech-support};Husband;White;Male;0;0;40;United-States;>50K
19;Private;168294;{HS-grad, Some-college};9;Never-married;{Craft-repair};Own-child;White;Male;0;0;40;United-States;<=50K
54;?;180211;{HS-grad, Some-college};10;Married-civ-spouse;{?, Handlers-cleaners};Husband;Asian-Pac-Islander;Male;0;0;60;South;>50K
39;Private;367260;{HS-grad, Some-college};9;Divorced;{Exec-managerial};Not-in-family;White;Male;0;0;80;United-States;<=50K
49;Private;193366;{HS-grad, Some-college};9;Married-civ-spouse;{Craft-repair};Husband;White;Male;0;0;40;United-States;<=50K
23;Local-gov;190709;{Bachelors, Assoc-acdm, Assoc-voc};12;Never-married;{Protective-serv};Not-in-family;White;Male;0;0;52;United-States;<=50K
20;Private;266015;{HS-grad, Some-college};10;Never-married;{Sales};Own-child;Black;Male;0;0;44;United-States;<=50K
45;Private;386940;{Bachelors, Assoc-acdm, Assoc-voc};13;Divorced;{Exec-managerial};Own-child;White;Male;0;1408;40;United-States;<=50K
30;Federal-gov;59951;{HS-grad, Some-college};10;Married-civ-spouse;{Adm-clerical};Own-child;White;Male;0;0;40;United-States;<=50K
22;State-gov;311512;{HS-grad, Some-college};10;Married-civ-spouse;{Other-service};Husband;Black;Male;0;0;15;United-States;<=50K
48;*;242406;*;7;Never-married;*;Unmarried;White;Male;0;0;40;*;<=50K
21;Private;197200;{HS-grad, Some-college};10;Never-married;{Machine-op-inspct, Priv-house-serv};Own-child;White;Male;0;0;40;United-States;<=50K
19;Private;544091;{HS-grad, Some-college};9;Married-AF-spouse;{Adm-clerical};Wife;White;Female;0;0;25;United-States;<=50K
31;Private;84154;{HS-grad, Some-college};10;Married-civ-spouse;{Sales};Husband;White;Male;0;0;38;?;>50K
48;Self-emp-not-inc;265477;{Bachelors, Assoc-acdm, Assoc-voc};12;Married-civ-spouse;{Prof-specialty};Husband;White;Male;0;0;40;United-States;<=50K
31;Private;507875;{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th};5;Married-civ-spouse;{Machine-op-inspct, Priv-house-serv};Husband;White;Male;0;0;43;United-States;<=50K
53;Self-emp-not-inc;88506;{Bachelors, Assoc-acdm, Assoc-voc};13;Married-civ-spouse;{Prof-specialty};Husband;White;Male;0;0;40;United-States;<=50K
24;Private;172987;{Bachelors, Assoc-acdm, Assoc-voc};13;Married-civ-spouse;{Tech-support};Husband;White;Male;0;0;50;United-States;<=50K
49;Private;94638;{HS-grad, Some-college};9;Separated;{Adm-clerical};Unmarried;White;Female;0;0;40;United-States;<=50K
25;Private;289980;{HS-grad, Some-college};9;Never-married;{?, Handlers-cleaners};Not-in-family;White;Male;0;0;35;United-States;<=50K
57;Federal-gov;337895;{Bachelors, Assoc-acdm, Assoc-voc};13;Married-civ-spouse;{Prof-specialty};Husband;Black;Male;0;0;40;United-States;>50K
53;Private;144361;{HS-grad, Some-college};9;Married-civ-spouse;{Machine-op-inspct, Priv-house-serv};Husband;White;Male;0;0;38;United-States;<=50K
44;Private;128354;{Masters};14;Divorced;{Exec-managerial};Unmarried;White;Female;0;0;40;United-States;<=50K
41;State-gov;101603;{Bachelors, Assoc-acdm, Assoc-voc};11;Married-civ-spouse;{Craft-repair};Husband;White;Male;0;0;40;United-States;<=50K
29;Private;271466;{Bachelors, Assoc-acdm, Assoc-voc};11;Never-married;{Prof-specialty};Not-in-family;White;Male;0;0;43;United-States;<=50K
25;Private;32275;{HS-grad, Some-college};10;Married-civ-spouse;{Exec-managerial};Wife;Other;Female;0;0;40;United-States;<=50K
18;Private;226956;{HS-grad, Some-college};9;Never-married;{Other-service};Own-child;White;Female;0;0;30;?;<=50K
47;*;51835;*;15;Married-civ-spouse;*;Wife;White;Female;0;1902;60;*;>50K
50;Federal-gov;251585;{Bachelors, Assoc-acdm, Assoc-voc};13;Divorced;{Exec-managerial};Not-in-family;White;Male;0;0;55;United-States;>50K
47;Self-emp-inc;109832;{HS-grad, Some-college};9;Divorced;{Exec-managerial};Not-in-family;White;Male;0;0;60;United-States;<=50K
43;Private;237993;{HS-grad, Some-college};10;Married-civ-spouse;{Tech-support};Husband;White;Male;0;0;40;United-States;>50K
46;Private;216666;{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th};3;Married-civ-spouse;{Machine-op-inspct, Priv-house-serv};Husband;White;Male;0;0;40;Mexico;<=50K
35;*;56352;*;11;Married-civ-spouse;*;Husband;White;Male;0;0;40;*;<=50K
41;Private;147372;{HS-grad, Some-college};9;Married-civ-spouse;{Adm-clerical};Husband;White;Male;0;0;48;United-States;<=50K
30;Private;188146;{HS-grad, Some-college};9;Married-civ-spouse;{Machine-op-inspct, Priv-house-serv};Husband;White;Male;5013;0;40;United-States;<=50K
30;Private;59496;{Bachelors, Assoc-acdm, Assoc-voc};13;Married-civ-spouse;{Sales};Husband;White;Male;2407;0;40;United-States;<=50K
32;*;293936;*;4;Married-spouse-absent;*;Not-in-family;White;Male;0;0;40;*;<=50K
48;Private;149640;{HS-grad, Some-college};9;Married-civ-spouse;{Transport-moving};Husband;White;Male;0;0;40;United-States;<=50K
42;Private;116632;{Doctorate};16;Married-civ-spouse;{Prof-specialty};Husband;White;Male;0;0;45;United-States;>50K
29;Private;105598;{HS-grad, Some-college};10;Divorced;{Tech-support};Not-in-family;White;Male;0;0;58;United-States;<=50K
36;Private;155537;{HS-grad, Some-college};9;Married-civ-spouse;{Craft-repair};Husband;White;Male;0;0;40;United-States;<=50K
28;Private;183175;{HS-grad, Some-college};10;Divorced;{Adm-clerical};Not-in-family;White;Female;0;0;40;United-States;<=50K
53;Private;169846;{HS-grad, Some-college};9;Married-civ-spouse;{Adm-clerical};Wife;White;Female;0;0;40;United-States;>50K
49;Self-emp-inc;191681;{HS-grad, Some-college};10;Married-civ-spouse;{Exec-managerial};Husband;White;Male;0;0;50;United-States;>50K
25;?;200681;{HS-grad, Some-college};10;Never-married;{?, Handlers-cleaners};Own-child;White;Male;0;0;40;United-States;<=50K
19;Private;101509;{HS-grad, Some-college};10;Never-married;{Prof-specialty};Own-child;White;Male;0;0;32;United-States;<=50K
31;Private;309974;{Bachelors, Assoc-acdm, Assoc-voc};13;Separated;{Sales};Own-child;Black;Female;0;0;40;United-States;<=50K
29;Self-emp-not-inc;162298;{Bachelors, Assoc-acdm, Assoc-voc};13;Married-civ-spouse;{Sales};Husband;White;Male;0;0;70;United-States;>50K
23;Private;211678;{HS-grad, Some-college};10;Never-married;{Machine-op-inspct, Priv-house-serv};Not-in-family;White;Male;0;0;40;United-States;<=50K
79;Private;124744;{HS-grad, Some-college};10;Married-civ-spouse;{Prof-specialty};Other-relative;White;Male;0;0;20;United-States;<=50K
27;Private;213921;{HS-grad, Some-college};9;Never-married;{Other-service};Own-child;White;Male;0;0;40;Mexico;<=50K
40;Private;32214;{Bachelors, Assoc-acdm, Assoc-voc};12;Married-civ-spouse;{Adm-clerical};Husband;White;Male;0;0;40;United-States;<=50K
67;?;212759;{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th};6;Married-civ-spouse;{?, Handlers-cleaners};Husband;White;Male;0;0;2;United-States;<=50K
18;Private;309634;{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th};7;Never-married;{Other-service};Own-child;White;Female;0;0;22;United-States;<=50K
31;*;125927;*;4;Married-civ-spouse;*;Husband;White;Male;0;0;40;*;<=50K
18;Private;446839;{HS-grad, Some-college};9;Never-married;{Sales};Not-in-family;White;Male;0;0;30;United-States;<=50K
52;*;276515;*;13;Married-civ-spouse;*;Husband;White;Male;0;0;40;*;<=50K
46;Private;51618;{HS-grad, Some-college};9;Married-civ-spouse;{Other-service};Wife;White;Female;0;0;40;United-States;<=50K
59;Private;159937;{HS-grad, Some-college};9;Married-civ-spouse;{Sales};Husband;White;Male;0;0;48;United-States;<=50K
