Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school, Some-college, HS-grad}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
11th,"{11th}","{11th}","{11th}","{11th}","{11th}","{11th}","{11th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 7th-8th, 5th-6th, 1st-4th, 9th}","{10th, 12th, 7th-8th, 5th-6th, 1st-4th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 7th-8th, 5th-6th, 1st-4th, 9th}","{10th, 12th, 7th-8th, 5th-6th, 1st-4th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
7th-8th,"{7th-8th}","{7th-8th}","{5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 7th-8th, 5th-6th, 1st-4th, 9th}","{10th, 12th, 7th-8th, 5th-6th, 1st-4th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Assoc-acdm,"{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}",*
12th,"{12th}","{12th}","{12th}","{12th}","{12th}","{12th}","{10th, 12th, 7th-8th, 5th-6th, 1st-4th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Bachelors,"{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}","{Bachelors, Assoc-acdm, Assoc-voc}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{HS-grad, Some-college}","{Prof-school, Some-college, HS-grad}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
9th,"{9th}","{9th}","{9th}","{9th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 7th-8th, 5th-6th, 1st-4th, 9th}","{10th, 12th, 7th-8th, 5th-6th, 1st-4th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
