Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Priv-house-serv, Machine-op-inspct}","{Priv-house-serv, Adm-clerical, Exec-managerial, Machine-op-inspct}","{Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv}","{Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Transport-moving}","{Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}",*
Handlers-cleaners,"{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}",*
Protective-serv,"{Protective-serv}","{Protective-serv}","{Protective-serv}","{Protective-serv}","{Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv}","{Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Transport-moving}","{Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}",*
Adm-clerical,"{Adm-clerical}","{Adm-clerical, Exec-managerial}","{Adm-clerical, Exec-managerial}","{Priv-house-serv, Adm-clerical, Exec-managerial, Machine-op-inspct}","{Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv}","{Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Transport-moving}","{Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}",*
?,"{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}","{Handlers-cleaners, ?}",*
