?,"{?, Priv-house-serv}","{?, Prof-specialty, Priv-house-serv}","{?, Protective-serv, Prof-specialty, Priv-house-serv}","{Prof-specialty, Priv-house-serv, ?, Protective-serv, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{?, Prof-specialty, Priv-house-serv}","{?, Protective-serv, Prof-specialty, Priv-house-serv}","{Prof-specialty, Priv-house-serv, ?, Protective-serv, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Sales,"{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Prof-specialty, Priv-house-serv, ?, Protective-serv, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Protective-serv, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}",*
