Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school, Assoc-acdm}","{HS-grad, Prof-school, Assoc-acdm}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{Bachelors, Prof-school, Assoc-acdm, HS-grad, Some-college, Masters}","{Bachelors, Prof-school, Assoc-acdm, HS-grad, Some-college, Masters, Doctorate}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
11th,"{11th}","{11th}","{11th}","{10th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
5th-6th,"{5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{10th, 9th, 5th-6th, 7th-8th}","{10th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
7th-8th,"{5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{10th, 9th, 5th-6th, 7th-8th}","{10th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Assoc-acdm,"{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Prof-school, Assoc-acdm}","{HS-grad, Prof-school, Assoc-acdm}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{Bachelors, Prof-school, Assoc-acdm, HS-grad, Some-college, Masters}","{Bachelors, Prof-school, Assoc-acdm, HS-grad, Some-college, Masters, Doctorate}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
12th,"{12th}","{12th}","{12th}","{12th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Bachelors,"{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors, Masters}","{Bachelors, Prof-school, Assoc-acdm, HS-grad, Some-college, Masters}","{Bachelors, Prof-school, Assoc-acdm, HS-grad, Some-college, Masters, Doctorate}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{HS-grad, Prof-school, Some-college, Assoc-acdm}","{Bachelors, Prof-school, Assoc-acdm, HS-grad, Some-college, Masters}","{Bachelors, Prof-school, Assoc-acdm, HS-grad, Some-college, Masters, Doctorate}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
