Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
11th,"{11th}","{11th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
7th-8th,"{7th-8th}","{9th, 7th-8th}","{9th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Assoc-acdm,"{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Bachelors, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
12th,"{10th, 12th}","{10th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Bachelors,"{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors, Doctorate}","{Bachelors, Doctorate, Masters}","{Bachelors, Some-college, Doctorate, Masters}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Bachelors, Some-college, Doctorate, Masters}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
9th,"{9th}","{9th, 7th-8th}","{9th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Masters,"{Masters}","{Masters}","{Masters}","{Masters}","{Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Some-college, Doctorate, Masters}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Doctorate,"{Doctorate}","{Doctorate}","{Doctorate}","{Doctorate}","{Bachelors, Doctorate}","{Bachelors, Doctorate, Masters}","{Bachelors, Some-college, Doctorate, Masters}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Assoc-voc,"{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}","{Assoc-voc}",*
10th,"{10th, 12th}","{10th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
HS-grad,"{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{HS-grad}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
