?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair, Other-service, Farming-fishing, Handlers-cleaners, Transport-moving}","{Craft-repair, Other-service, Farming-fishing, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Sales,"{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Craft-repair, Other-service, Farming-fishing, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service, Transport-moving}","{Other-service, Transport-moving}","{Other-service, Transport-moving, Handlers-cleaners}","{Other-service, Farming-fishing, Transport-moving, Handlers-cleaners}","{Craft-repair, Other-service, Farming-fishing, Handlers-cleaners, Transport-moving}","{Craft-repair, Other-service, Farming-fishing, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Transport-moving,"{Other-service, Transport-moving}","{Other-service, Transport-moving}","{Other-service, Transport-moving, Handlers-cleaners}","{Other-service, Farming-fishing, Transport-moving, Handlers-cleaners}","{Craft-repair, Other-service, Farming-fishing, Handlers-cleaners, Transport-moving}","{Craft-repair, Other-service, Farming-fishing, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Priv-house-serv,"{Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Other-service, Farming-fishing, Transport-moving, Handlers-cleaners}","{Craft-repair, Other-service, Farming-fishing, Handlers-cleaners, Transport-moving}","{Craft-repair, Other-service, Farming-fishing, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Farming-fishing, Armed-Forces, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Protective-serv,"{Protective-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Protective-serv, Priv-house-serv}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Adm-clerical,"{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}",*
