?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}",*
Prof-specialty,"{Prof-specialty}","{Other-service, Sales, Prof-specialty}","{Other-service, Sales, Machine-op-inspct, Prof-specialty}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Protective-serv}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Protective-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair, Other-service, Prof-specialty, Sales, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Sales,"{Other-service, Sales}","{Other-service, Sales, Prof-specialty}","{Other-service, Sales, Machine-op-inspct, Prof-specialty}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Protective-serv}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Protective-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Protective-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Other-service, Sales, Machine-op-inspct, Prof-specialty}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Protective-serv}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Protective-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service, Sales}","{Other-service, Sales, Prof-specialty}","{Other-service, Sales, Machine-op-inspct, Prof-specialty}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Protective-serv}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Protective-serv, Tech-support}","{Other-service, Prof-specialty, Sales, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Tech-support}","{Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Exec-managerial, Craft-repair, Other-service, Prof-specialty, Priv-house-serv, Sales, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
