Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}",*
11th,"{11th}","{11th}","{10th, 11th}","{10th, 11th, 12th}","{10th, 12th, 11th, 5th-6th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Preschool, 7th-8th}",*
1st-4th,"{1st-4th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Preschool, 7th-8th}",*
5th-6th,"{5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Preschool, 7th-8th}",*
7th-8th,"{5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Preschool, 7th-8th}",*
Assoc-acdm,"{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{10th, Bachelors, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Preschool, 7th-8th}",*
12th,"{12th}","{12th}","{12th}","{10th, 11th, 12th}","{10th, 12th, 11th, 5th-6th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Preschool, 7th-8th}",*
Bachelors,"{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{10th, Bachelors, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Preschool, 7th-8th}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Preschool, 7th-8th}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{10th, Bachelors, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Preschool, 7th-8th}",*
9th,"{9th}","{9th}","{9th}","{9th}","{9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, Some-college, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}","{10th, Bachelors, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Preschool, 7th-8th}",*
