?,"{?}","{?}","{Other-service, ?, Protective-serv, Priv-house-serv}","{Other-service, Priv-house-serv, ?, Protective-serv, Farming-fishing}","{Other-service, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv}","{Other-service, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Armed-Forces}","{Other-service, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv}","{Other-service, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Sales,"{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Sales}","{Other-service, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Tech-support}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service, Protective-serv, Priv-house-serv}","{Other-service, ?, Protective-serv, Priv-house-serv}","{Other-service, Priv-house-serv, ?, Protective-serv, Farming-fishing}","{Other-service, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv}","{Other-service, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Other-service, Priv-house-serv, ?, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving}","{Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
