Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Bachelors, Prof-school, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Assoc-voc, Preschool}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, 9th, Assoc-voc, Preschool, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, Preschool, 7th-8th}",*
11th,"{11th}","{11th}","{11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, 9th, Assoc-voc, Preschool, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, Preschool, 7th-8th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, Preschool, 7th-8th}",*
7th-8th,"{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{7th-8th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, 9th, Assoc-voc, Preschool, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, Preschool, 7th-8th}",*
Assoc-acdm,"{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Assoc-voc, Preschool}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, 9th, Assoc-voc, Preschool, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, Preschool, 7th-8th}",*
12th,"{12th}","{12th}","{11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, 9th, Assoc-voc, Preschool, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, Preschool, 7th-8th}",*
Bachelors,"{Bachelors, Doctorate}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Some-college, Doctorate, Masters}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Prof-school, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Assoc-voc, Preschool}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, 9th, Assoc-voc, Preschool, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, Preschool, 7th-8th}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Bachelors, Some-college, Doctorate, Masters}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Prof-school, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Assoc-voc, Preschool}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, 9th, Assoc-voc, Preschool, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, Preschool, 7th-8th}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Some-college, Masters, Preschool, Doctorate}","{Bachelors, Prof-school, Doctorate, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, Some-college, Masters, Assoc-voc, Preschool}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, Assoc-voc, Preschool, 9th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, 11th, 9th, Assoc-voc, Preschool, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, Preschool, 7th-8th}",*
