?,"{?}","{?}","{?}","{?}","{?}","{Exec-managerial, Other-service, Sales, ?, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}",*
Exec-managerial,"{Exec-managerial}","{Exec-managerial, Armed-Forces}","{Exec-managerial, Tech-support, Armed-Forces}","{Exec-managerial, Sales, Tech-support, Armed-Forces}","{Exec-managerial, Other-service, Sales, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Exec-managerial, Craft-repair, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Armed-Forces,"{Armed-Forces}","{Exec-managerial, Armed-Forces}","{Exec-managerial, Tech-support, Armed-Forces}","{Exec-managerial, Sales, Tech-support, Armed-Forces}","{Exec-managerial, Other-service, Sales, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Sales,"{Sales}","{Sales}","{Sales}","{Exec-managerial, Sales, Tech-support, Armed-Forces}","{Exec-managerial, Other-service, Sales, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Exec-managerial, Tech-support, Armed-Forces}","{Exec-managerial, Sales, Tech-support, Armed-Forces}","{Exec-managerial, Other-service, Sales, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Exec-managerial, Other-service, Sales, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Armed-Forces, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Tech-support}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
Transport-moving,"{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Transport-moving}","{Exec-managerial, Craft-repair, Other-service, Priv-house-serv, Sales, ?, Adm-clerical, Machine-op-inspct, Farming-fishing, Armed-Forces, Protective-serv, Handlers-cleaners, Transport-moving, Tech-support}",*
