Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Bachelors, Prof-school, HS-grad, Some-college, Masters, Doctorate}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Bachelors, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
11th,"{11th, 12th}","{11th, 12th}","{10th, 11th, 12th, 9th}","{10th, 12th, 7th-8th, 11th, 9th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th}","{5th-6th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
7th-8th,"{7th-8th}","{7th-8th}","{7th-8th}","{10th, 12th, 7th-8th, 11th, 9th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Assoc-acdm,"{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}",*
12th,"{11th, 12th}","{11th, 12th}","{10th, 11th, 12th, 9th}","{10th, 12th, 7th-8th, 11th, 9th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Bachelors,"{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors, Some-college}","{Bachelors, Some-college, Masters}","{Bachelors, Some-college, Masters}","{Bachelors, Some-college, Doctorate, Masters}","{Bachelors, HS-grad, Some-college, Masters, Doctorate}","{Bachelors, Prof-school, HS-grad, Some-college, Masters, Doctorate}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Bachelors, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Bachelors, Some-college}","{Bachelors, Some-college, Masters}","{Bachelors, Some-college, Masters}","{Bachelors, Some-college, Doctorate, Masters}","{Bachelors, HS-grad, Some-college, Masters, Doctorate}","{Bachelors, Prof-school, HS-grad, Some-college, Masters, Doctorate}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Bachelors, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{10th, Bachelors, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
9th,"{9th}","{10th, 9th}","{10th, 11th, 12th, 9th}","{10th, 12th, 7th-8th, 11th, 9th}","{10th, 12th, 7th-8th, 11th, 5th-6th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, Bachelors, Prof-school, 12th, Doctorate, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, 1st-4th, Preschool, 7th-8th}",*
