Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Handlers-cleaners,"{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair, Tech-support}","{Craft-repair, Sales, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Protective-serv,"{Protective-serv}","{Protective-serv}","{Protective-serv}","{Priv-house-serv, Protective-serv}","{Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}",*
Adm-clerical,"{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Craft-repair, Tech-support}","{Craft-repair, Sales, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
?,"{?}","{?}","{?, Craft-repair, Sales, Tech-support}","{?, Craft-repair, Sales, Tech-support}","{Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, ?, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
