age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;income
20-39;State-gov;77516;{Bachelors, Some-college};13;Never-married;*;Not-in-family;White;Male;2174;0;40;{United-States};<=50K
40-59;Self-emp-not-inc;83311;{Bachelors, Some-college};13;Married-civ-spouse;*;Husband;White;Male;0;0;13;{United-States};<=50K
20-39;Private;215646;{HS-grad};9;Divorced;*;Not-in-family;White;Male;0;0;40;{United-States};<=50K
40-59;Private;234721;{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th};7;Married-civ-spouse;*;Husband;Black;Male;0;0;40;{United-States};<=50K
20-39;Private;338409;{Bachelors, Some-college};13;Married-civ-spouse;*;Wife;Black;Female;0;0;40;{India, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Nicaragua, Hungary, Poland, El-Salvador, Honduras, Scotland, Jamaica, Taiwan, Guatemala, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, England, Dominican-Republic};<=50K
20-39;Private;284582;{Masters};14;Married-civ-spouse;*;Wife;White;Female;0;0;40;{United-States};<=50K
*;Private;160187;*;5;Married-spouse-absent;*;*;Black;*;0;0;16;*;<=50K
40-59;Self-emp-not-inc;209642;{HS-grad};9;Married-civ-spouse;*;Husband;White;Male;0;0;45;{United-States};>50K
20-39;Private;45781;{Masters};14;Never-married;*;Not-in-family;White;Female;14084;0;50;{United-States};>50K
40-59;Private;159449;{Bachelors, Some-college};13;Married-civ-spouse;*;Husband;White;Male;5178;0;40;{United-States};>50K
20-39;Private;280464;{Bachelors, Some-college};10;Married-civ-spouse;*;Husband;Black;Male;0;0;80;{United-States};>50K
20-39;State-gov;141297;{Bachelors, Some-college};13;Married-civ-spouse;*;Husband;Asian-Pac-Islander;Male;0;0;40;{India, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Nicaragua, Hungary, Poland, El-Salvador, Honduras, Scotland, Jamaica, Taiwan, Guatemala, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, England, Dominican-Republic};>50K
20-39;Private;122272;{Bachelors, Some-college};13;Never-married;*;Own-child;White;Female;0;0;30;{United-States};<=50K
20-39;Private;205019;{Assoc-acdm, Assoc-voc};12;Never-married;*;Not-in-family;Black;Male;0;0;50;{United-States};<=50K
*;Private;121772;*;11;Married-civ-spouse;*;*;Asian-Pac-Islander;*;0;0;40;*;>50K
