Machine-op-inspct,"{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Machine-op-inspct}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Handlers-cleaners, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Handlers-cleaners,"{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Handlers-cleaners}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Priv-house-serv, Handlers-cleaners, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Handlers-cleaners, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Craft-repair,"{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Craft-repair}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Protective-serv,"{Priv-house-serv, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv, Tech-support}","{Other-service, Sales, Protective-serv, Priv-house-serv, Tech-support}","{Other-service, Sales, Exec-managerial, Protective-serv, Priv-house-serv, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Priv-house-serv, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Priv-house-serv, Handlers-cleaners, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Handlers-cleaners, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Other-service,"{Other-service}","{Priv-house-serv, Other-service, Protective-serv}","{Priv-house-serv, Other-service, Protective-serv, Tech-support}","{Other-service, Sales, Protective-serv, Priv-house-serv, Tech-support}","{Other-service, Sales, Exec-managerial, Protective-serv, Priv-house-serv, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Priv-house-serv, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Priv-house-serv, Handlers-cleaners, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Handlers-cleaners, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Prof-specialty,"{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Prof-specialty}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Farming-fishing,"{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Farming-fishing}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Adm-clerical,"{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Adm-clerical}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Priv-house-serv, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Priv-house-serv, Handlers-cleaners, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Handlers-cleaners, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
Tech-support,"{Tech-support}","{Tech-support}","{Priv-house-serv, Other-service, Protective-serv, Tech-support}","{Other-service, Sales, Protective-serv, Priv-house-serv, Tech-support}","{Other-service, Sales, Exec-managerial, Protective-serv, Priv-house-serv, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Priv-house-serv, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Priv-house-serv, Handlers-cleaners, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Handlers-cleaners, Tech-support}","{Other-service, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}","{Other-service, Prof-specialty, Adm-clerical, Exec-managerial, Sales, Protective-serv, Farming-fishing, Armed-Forces, Machine-op-inspct, Priv-house-serv, Craft-repair, Handlers-cleaners, Transport-moving, Tech-support}",*
?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}",*
