age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;income
*;State-gov;77516;{Bachelors};13;Never-married;*;Not-in-family;White;Male;2174;0;40;{United-States};<=50K
*;Self-emp-not-inc;83311;{Bachelors};13;Married-civ-spouse;*;Husband;White;Male;0;0;13;{United-States};<=50K
*;Private;215646;{Prof-school, HS-grad};9;Divorced;*;Not-in-family;White;Male;0;0;40;{United-States};<=50K
*;Private;234721;{10th, 11th, 12th};7;Married-civ-spouse;*;Husband;Black;Male;0;0;40;{United-States};<=50K
*;Private;338409;*;13;Married-civ-spouse;*;*;Black;*;0;0;40;*;<=50K
*;Private;284582;{Masters};14;Married-civ-spouse;*;Wife;White;Female;0;0;40;{United-States};<=50K
*;Private;160187;*;5;Married-spouse-absent;*;*;Black;*;0;0;16;*;<=50K
*;Self-emp-not-inc;209642;{Prof-school, HS-grad};9;Married-civ-spouse;*;Husband;White;Male;0;0;45;{United-States};>50K
*;Private;45781;{Masters};14;Never-married;*;Not-in-family;White;Female;14084;0;50;{United-States};>50K
*;Private;159449;{Bachelors};13;Married-civ-spouse;*;Husband;White;Male;5178;0;40;{United-States};>50K
*;Private;280464;{Some-college};10;Married-civ-spouse;*;Husband;Black;Male;0;0;80;{United-States};>50K
*;State-gov;141297;{Bachelors};13;Married-civ-spouse;*;Husband;Asian-Pac-Islander;Male;0;0;40;{India, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Poland, El-Salvador, Iran, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, England, Dominican-Republic};>50K
*;Private;122272;{Bachelors};13;Never-married;*;Own-child;White;Female;0;0;30;{United-States};<=50K
*;Private;205019;{Assoc-acdm, Assoc-voc};12;Never-married;*;Not-in-family;Black;Male;0;0;50;{United-States};<=50K
*;Private;121772;*;11;Married-civ-spouse;*;*;Asian-Pac-Islander;*;0;0;40;*;>50K
