Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school, HS-grad}","{HS-grad, Prof-school, Assoc-voc, Assoc-acdm}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Doctorate}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Masters, Assoc-voc, Doctorate}","{Bachelors, Prof-school, Assoc-acdm, HS-grad, Some-college, Masters, Assoc-voc, Doctorate}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, HS-grad, Some-college, Masters, 11th, Assoc-voc, Doctorate}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}",*
11th,"{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, HS-grad, Some-college, Masters, 11th, Assoc-voc, Doctorate}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}",*
7th-8th,"{7th-8th}","{7th-8th}","{5th-6th, 7th-8th}","{9th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{9th, 1st-4th, 5th-6th, 7th-8th}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}",*
Assoc-acdm,"{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{HS-grad, Prof-school, Assoc-voc, Assoc-acdm}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Doctorate}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Masters, Assoc-voc, Doctorate}","{Bachelors, Prof-school, Assoc-acdm, HS-grad, Some-college, Masters, Assoc-voc, Doctorate}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, HS-grad, Some-college, Masters, 11th, Assoc-voc, Doctorate}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}",*
12th,"{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, 11th, 12th}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, HS-grad, Some-college, Masters, 11th, Assoc-voc, Doctorate}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}",*
Bachelors,"{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors, Prof-school, Assoc-acdm, HS-grad, Some-college, Masters, Assoc-voc, Doctorate}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, HS-grad, Some-college, Masters, 11th, Assoc-voc, Doctorate}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Assoc-voc, Doctorate}","{Prof-school, Assoc-acdm, HS-grad, Some-college, Masters, Assoc-voc, Doctorate}","{Bachelors, Prof-school, Assoc-acdm, HS-grad, Some-college, Masters, Assoc-voc, Doctorate}","{10th, Bachelors, Prof-school, 12th, Assoc-acdm, HS-grad, Some-college, Masters, 11th, Assoc-voc, Doctorate}","{10th, Bachelors, Prof-school, Assoc-acdm, 12th, HS-grad, Some-college, Masters, 11th, 5th-6th, 9th, Assoc-voc, 1st-4th, Doctorate, 7th-8th}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}",*
