,num_suppressed_records,num_records,max_group_size,avg_group_size,k,l,t,perc_recs,c_avg,bagging_acc,random_forest_acc,boosting_acc,bagging_auc,random_forest_auc,boosting_auc,bagging_prec,random_forest_prec,boosting_prec,bagging_recl,random_forest_recl,boosting_recl,bagging_f1,random_forest_f1,boosting_f1
"k: 2, clustering: kmeans,  embedding: BERT",2261,30300,2021,68.86363636363636,2,2,0.7369256156384869,0.9305611007032953,34.43181818181818,0.833978256863829,0.82808181315644,0.8370493212947607,0.6850531656971948,0.6960992480712497,0.6845493288971607,0.7923273657289003,0.7196810742761225,0.8226068144943213,0.40275611024440977,0.4459178367134685,0.3954758190327613,0.5340458541630754,0.5506501846203242,0.5341527655838455
"k: 2, clustering: kmeans,  embedding: word2vec",1416,31145,1281,70.94533029612757,2,2,0.7100948711480097,0.956512392125549,35.47266514806378,0.837172163871998,0.8307229285670413,0.8398747005712179,0.6801399414239537,0.6785220745379875,0.6956479465451235,0.8420148826559817,0.7853403141361257,0.8083623693379791,0.3824752990119605,0.39001560062402496,0.42225689027561103,0.5260146611836224,0.5211952744961779,0.554739538855679
"k: 2, clustering: kmeans,  embedding: average_word_embeddings_glove.6B.300d",1572,30989,1416,69.171875,2,2,0.707713489732916,0.9517213844783637,34.5859375,0.8355752103679135,0.8301701369694736,0.8374792703150912,0.6753230684112769,0.679417338334064,0.7040471606801546,0.8460627590290113,0.7776065742167437,0.76431718061674,0.3715548621944878,0.39365574622984917,0.45111804472178885,0.5163504968383018,0.5226998101156568,0.567364290385873
"k: 2, clustering: kmeans,  embedding: msmarco-bert-base-dot-v5",1509,31052,1416,73.58293838862559,2,2,0.6833011292885054,0.9536562144897269,36.791469194312796,0.82808181315644,0.8259320680547878,0.8334868865548799,0.6427603569764021,0.6483571357329565,0.6765600467203248,0.9380753138075314,0.8650793650793651,0.8186412128017967,0.2914716588663547,0.31175247009880397,0.3790951638065523,0.44475302519341403,0.4583333333333334,0.5182157455127067
"k: 2, clustering: kmeans,  embedding: multi-qa-mpnet-base-dot-v1",1416,31145,1027,68.00218340611353,2,2,0.7100948711480097,0.956512392125549,34.001091703056765,0.8371107425833794,0.8305386647011854,0.8402432283029297,0.6774956450610257,0.6803769617612208,0.6996606378127259,0.8532544378698225,0.7777210015329586,0.7982750359367513,0.374934997399896,0.3957358294331773,0.4331773270930837,0.5209537572254336,0.5245562640013786,0.5616045845272206
"k: 2, clustering: kmeans,  embedding: text-embedding-3-large",1416,31145,1109,72.5990675990676,2,2,0.7100948711480097,0.956512392125549,36.2995337995338,0.8361894232540998,0.8309686137215159,0.8394447515508875,0.6767129165263113,0.6797604642424538,0.700484861372742,0.8465608465608465,0.783419689119171,0.7892018779342723,0.374414976599064,0.39313572542901715,0.437077483099324,0.5191995673336938,0.523545706371191,0.5625836680053548
"k: 2, clustering: kmeans,  embedding: text-embedding-3-small",1751,30810,1416,69.23595505617978,2,2,0.7042796865581675,0.9462240103190934,34.61797752808989,0.8367422148516676,0.83078434985566,0.8367422148516676,0.6800380700390862,0.67999902143251,0.7039238360849271,0.8378839590443686,0.7810407006697578,0.7593886462882096,0.3829953198127925,0.39417576703068125,0.45215808632345295,0.525695931477516,0.5239329531709003,0.5668187744458931
"k: 2, clustering: kmeans,  embedding: mistral-embed",1416,31145,1031,72.5990675990676,2,2,0.7100948711480097,0.956512392125549,36.2995337995338,0.8364351084085744,0.8296787666605245,0.840366070880167,0.6782206945696405,0.6793650539748972,0.6957002309042905,0.842501447596989,0.7735849056603774,0.812531328320802,0.3783151326053042,0.39443577743109726,0.421476859074363,0.5221604162928404,0.5224728775615636,0.5550419448724534
"k: 2, clustering: kmeans,  embedding: jinaai-jina-embeddings-v2-base-en",1416,31145,1063,70.1463963963964,2,2,0.7423293033824419,0.956512392125549,35.0731981981982,0.8376021128923284,0.8300472943922363,0.8373564277378539,0.6824867156326784,0.6830185607906825,0.6953463156620353,0.8365061590145577,0.7656326932545544,0.7879807692307692,0.38845553822152884,0.4043161726469059,0.42615704628185125,0.5305397727272727,0.5291815552152459,0.5531555855551805
"k: 2, clustering: kmeans,  embedding: fasttext",2215,30346,2206,60.692,2,2,0.735982945414172,0.9319738337274653,30.346,0.8365579509858116,0.8309071924328972,0.8366807935630489,0.6784807049700564,0.6817855657531489,0.6978672874297361,0.8426836321573163,0.776428932726353,0.775150672229949,0.37883515340613627,0.39911596463858556,0.43473738949557983,0.5226905829596412,0.5272196462304654,0.5570548059303682
"k: 2, clustering: kmeans,  embedding: average_word_embeddings_komninos",1416,31145,1015,76.52334152334153,2,2,0.7100948711480097,0.956512392125549,38.261670761670764,0.8342853633069222,0.8304772434125668,0.8384005896443707,0.6740296970141773,0.6766551120428411,0.6878584238665083,0.8376470588235294,0.7894456289978679,0.8229665071770335,0.3702548101924077,0.38507540301612064,0.40249609984399376,0.5135232600072125,0.517651170919259,0.5405971712938711
"k: 2, clustering: kmeans,  embedding: average_word_embeddings_levy_dependency",1894,30667,1416,62.20486815415821,2,2,0.737085466462321,0.9418322533091735,31.102434077079106,0.8357594742337694,0.8315828266077022,0.8382777470671334,0.677598802383941,0.6836646035202082,0.7078025388808074,0.8379469434832757,0.7762762762762763,0.7604121940747102,0.3777951118044722,0.4032761310452418,0.46047841913676546,0.5207885304659499,0.5308008213552362,0.5736032388663967
